Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
7860876103,Joe Biden,BIDEN VICTORY FUND,16545919,14742
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,11143999,36577
108824017345866,Facebook,"Facebook, Inc.",7255530,392
156968474833352,Stop Republicans,Stop Republicans,4882934,1400
367152833370567,Instagram,"Facebook, Inc.",4463072,32
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",4329211,36382
7860876103,Joe Biden,BIDEN FOR PRESIDENT,3819205,4694
20531316728,Facebook App,"Facebook, Inc.",3812295,71
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,3746580,726
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,3699441,4151
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,3643669,8044
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,3345227,1753
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,2304239,1405
925007000949719,ExxonMobil,Exxon Mobil Corporation,2192948,425
107925603976843,Yes on Prop 22,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Uber Technologies, Lyft, and DoorDash.",2101722,706
350316025478383,When We All Vote,When We All Vote,1834882,410
105756057589080,The Lincoln Project,The Lincoln Project,1712940,789
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,1692891,3656
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",1678741,506
114625730266879,Republican Voters Against Trump,Defending Democracy Together,1656401,542
100217778224266,No On Proposition 23,"NO on 23 - Stop the Dangerous & Costly Dialysis Proposition, a coalition of dialysis providers, nurses, doctors and patients. Committee major funding from DaVita, Fresenius Medical Care, US Renal Care",1578786,294
202626512363,U.S. Census Bureau,U.S. Census Bureau,1535545,223
24413227922,Kamala Harris,BIDEN VICTORY FUND,1501428,1228
55549065733,Voto Latino,VOTO LATINO INC.,1489903,2306
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,1434072,110
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,1385633,328
1204754733024419,People's Power Grab,ACRONYM,1354107,1227
20787991568,Senate Democrats,DSCC,1314115,1791
332716170522025,America First Action,America First Action,1247824,814
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,1194660,4107
107925603976843,Yes on Prop 22,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Lyft, Uber Technologies, and DoorDash.",1171699,103
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,1136795,263
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,1134947,295
190094106128575,Vote By Mail 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,1099794,6877
103026384819654,How to Vote,ACRONYM,1093894,559
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",1080478,1190
280034132055819,WhatsApp,WhatsApp Inc.,1063406,114
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,1060167,760
108831660841719,Stop the Illinois Tax Hike Amendment,Coalition to Stop the Proposed Tax Hike Amendment,1015503,774
190094106128575,Vote By Mail 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,959240,7917
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,915722,628
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,912596,736
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,862435,4026
105666447950072,Let's Count Texas,Let's Count Texas,860775,26173
242077219243971,The Presidential Coalition,The Presidential Coalition,841987,352
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,805843,615
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,787492,1445
228754857151053,House Majority PAC,House Majority PAC,751436,756
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,751396,1014
261663760956534,America First Policies,America First Policies Inc,669740,580
470241276500901,Women Vote,WOMEN VOTE!,651827,312
110018833813683,Flip the Senate,SMP,646248,815
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,633057,1552
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,629243,606
537492463326062,WestGame,These ads ran without a disclaimer,626208,29
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,616861,796
101575038360158,Florida Votes Trump Out,TECH FOR CAMPAIGNS,608228,400
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,604824,105
