Location Name,Amount Spent (USD)
Alabama,1664584
Alaska,798368
American Samoa,1340
Arizona,12139269
Arkansas,957958
California,27519732
Colorado,4667597
Connecticut,1513731
Delaware,535497
Florida,27714246
Georgia,9935566
Guam,17456
Hawaii,527374
Idaho,599681
Illinois,7342860
Indiana,2240990
Iowa,3477555
Kansas,1279943
Kentucky,3130377
Louisiana,1595572
Maine,1852801
Maryland,2241484
Massachusetts,3117902
Michigan,12448791
Minnesota,5572789
Mississippi,862653
Missouri,2513982
Montana,2249338
Nebraska,968964
Nevada,2670971
New Hampshire,917802
New Jersey,3903705
New Mexico,1346516
New York,9864694
North Carolina,14753591
North Dakota,267616
Northern Mariana Islands,303
Ohio,6463834
Oklahoma,1299013
Oregon,2528952
Pennsylvania,17186959
Puerto Rico,125849
Rhode Island,435682
South Carolina,3074637
South Dakota,339620
Tennessee,2143074
Texas,15123206
Unknown,949
Utah,1300632
Vermont,332083
Virgin Islands (U.S.),3860
Virginia,4160290
Washington,3497365
"Washington, District of Columbia",582861
West Virginia,720199
Wisconsin,6933234
Wyoming,206731
