Page ID,Page Name,Disclaimer,Amount Spent (USD)
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,156591
106991060749369,OneALASKA,OneAlaska,77724
308506536540046,Alaskans for Better Elections,Alaskans for Better Elections,63985
698400060189827,Dan Sullivan,Alaskans for Sullivan,34077
151757038879920,Alyse Galvin for Congress 2020,ALYSE FOR ALASKA,28866
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,23657
7860876103,Joe Biden,BIDEN VICTORY FUND,15509
108824017345866,Facebook,"Facebook, Inc.",15036
2162483073873761,Alaska Counts,Alaska Counts,14263
237477017606,Club for Growth,Club for Growth,13358
156968474833352,Stop Republicans,Stop Republicans,12584
20531316728,Facebook App,"Facebook, Inc.",9004
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,8694
1494279480805358,Don Young,ALASKANS FOR DON YOUNG,8187
710770742377054,Defend Alaska Elections,Defend Alaska Elections,7996
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,7320
367152833370567,Instagram,"Facebook, Inc.",7278
925007000949719,ExxonMobil,Exxon Mobil Corporation,6808
164000733634461,Alaska Chamber,Alaska Chamber,6685
2162483073873761,Alaska Counts,Paid for by Alaska Counts - Foraker Group with Facebook Ad Credits,6482
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,6077
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,6003
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,5918
118768369965581,American Center / Alaska,American Center / Alaska,5623
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5157
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",5024
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,4613
351193978049,Alaskans Together For Equality,Alaskans Together For Equality,4398
109268243766866,Vote Yes for Alaska's Fair Share,Vote Yes for Alaska's Fair Share Act,4053
100752108406573,Robert Shoemake for Assembly,Shoemake for Assembly,3831
227877611392,The Alaska Center,The Alaska Center,3796
24413227922,Kamala Harris,BIDEN VICTORY FUND,3765
108854430811842,Stop Pebble Mine,Stop Pebble Mine,3714
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,3479
20787991568,Senate Democrats,DSCC,3345
2411393962413940,Defend Alaska,Defend Alaska,3279
