Page ID,Page Name,Disclaimer,Amount Spent (USD)
105360034323953,Nua & Satele 2020,Nua & Satele 2020,905
359963004611747,Iaulualo & Tapaau 2020,Iaulualo & Tapaau for American Samoa Governor & Lt Governor 2020,255
737067693087816,American Samoa Alliance Against Domestic & Sexual Violence,American Samoa Alliance against Domestic & Sexual Violence,169
126435354208451,Sadie's Hotels,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
335265877069930,Kitten Match,These ads ran without a disclaimer,≤100
102634248135638,Super Roman,These ads ran without a disclaimer,≤100
956150571077941,SimCity BuildIt,These ads ran without a disclaimer,≤100
1802405203377899,Vui mo Tualauta,These ads ran without a disclaimer,≤100
277861575603017,Big Business,These ads ran without a disclaimer,≤100
1730405343704287,Live It Nation,These ads ran without a disclaimer,≤100
