Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,956105
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,663474
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,623921
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",433761
190094106128575,Vote By Mail 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,318299
7860876103,Joe Biden,BIDEN FOR PRESIDENT,305568
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,281911
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",274936
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,263472
55549065733,Voto Latino,VOTO LATINO INC.,236799
101591204987294,Forward Arizona,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,224394
350316025478383,When We All Vote,When We All Vote,211882
105756057589080,The Lincoln Project,The Lincoln Project,183268
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,164849
114625730266879,Republican Voters Against Trump,Defending Democracy Together,156646
109944567501859,Trump for Arizona,"DONALD J. TRUMP FOR PRESIDENT, INC.",149403
152222811464994,One Arizona,One Arizona,137472
1204754733024419,People's Power Grab,ACRONYM,126836
108824017345866,Facebook,"Facebook, Inc.",124814
1643411132380588,DefendArizona,DEFEND ARIZONA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.,122852
242077219243971,The Presidential Coalition,The Presidential Coalition,122466
26006662641,Arizona Democratic Party,Arizona Democratic Party,116475
261663760956534,America First Policies,America First Policies Inc,114909
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,112419
156968474833352,Stop Republicans,Stop Republicans,104163
108103774350322,We the People 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,102949
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,100422
107038924352529,Big Money Mark Kelly,NRSC,99908
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,98359
103026384819654,How to Vote,ACRONYM,97222
104369968066690,No Prop 208,Arizonans for Great Schools and a Strong Economy,95126
367152833370567,Instagram,"Facebook, Inc.",91446
202626512363,U.S. Census Bureau,U.S. Census Bureau,90313
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,87437
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,79932
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",76951
1387062348242626,Progress Arizona,ProgressNow AZ,74777
20531316728,Facebook App,"Facebook, Inc.",74342
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,69430
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,69378
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,67744
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,61583
497081420632330,Dr. Hiral Tipirneni,HIRAL FOR CONGRESS,61516
108103774350322,We the People 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,58688
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,55259
302182941354,AARP Advocates,AARP,51867
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,50161
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,49124
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",48975
370939753393588,Invest in Education Arizona,Invest in Education. (Sponsored by AEA and Stand for Children). Not authorized by any candidate.,48102
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,47939
623339164538852,National Security Action,Nationalsecurityaction.org,46257
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",46137
2811385199180287,Smart & Safe Arizona,Smart and Safe Arizona. Not authorized by any candidate.,45331
925007000949719,ExxonMobil,Exxon Mobil Corporation,45277
159433914079029,Inter Tribal Council of Arizona,"INTER TRIBAL COUNCIL OF ARIZONA, INC.",42113
102226184949334,We're Saying NO to Martha McSally,DSCC,40851
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,40662
158391224612552,Arizonans for Strong Leadership,Arizonans for Strong Leadership. Not Authorized by Any Candidate or Candidate's Committee.,39565
107077007769740,Election Protection Arizona,Election Protection Arizona,39107
338218229911752,Integrity First PAC,INTEGRITY FIRST PAC,39010
8934429638,Planned Parenthood Action,Planned Parenthood Votes,37729
111143288919034,Kate Brophy McGee - State Senate,Kate McGee AZ - Senate,35571
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,34118
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,34035
104677214707541,Shady Schweikert,314 ACTION FUND,33092
6165653060,AFSCME,"Paid for by the American Federation of State, County & Municipal Employees PEOPLE, afscme.org/afscme-people. Not authorized by any candidate or candidate’s committee.",32863
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,32644
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),32541
103597034685122,Vote Like A Madre,LATINO VICTORY PROJECT,32319
24413227922,Kamala Harris,BIDEN VICTORY FUND,28208
156474368333576,Secure Democracy,Secure Democracy,27251
80562389320,NARAL Pro-Choice America,NARAL Freedom Fund,26882
280273942699165,Where They Stand Arizona,Forward Majority Action Arizona,26690
117188786580,Planned Parenthood Arizona,"Planned Parenthood Arizona, Inc.",25000
106888260932693,Fair Census Project,RESOURCES LEGACY FUND,24981
370939753393588,Invest in Education Arizona,Invest in Education. (Sponsored by AEA and Stand for Children). Not authorized by any candidate./,24942
101432825019214,Republicans & Independents for Biden,The Lincoln Project,24895
248833449184369,Boost the News,ACRONYM,24893
107483817554072,WorkMoney,WorkMoney,23938
1556932204325823,ProgressPop,ProgressPop,23875
101525041616176,Power the Polls,Power The Polls,23500
2078647579047586,Project Pulso,Pulso,23118
105390141285230,The FYI,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",23090
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",22800
104809690939792,AJ for Arizona,AJ For State Senate. Authorized by Ajlan AJ Kurdoglu.,22753
132080770746239,Felicia French for Arizona,French for Arizona. Authorized by Felicia French.,21990
110339484041212,Voices of Arizona,ProgressNow AZ,21806
580263329124569,i Count 2020,Maricopa Association of Governments,21549
102689561566768,Party Line Shedd,DCCC,21481
630710627126165,Christine Porter Marsh for Arizona,Chris4Arizona. Authorized by Christine Marsh,21228
100779578065977,Maricopa County Elections Department,Maricopa County Elections Department,21060
255237711773195,Mi AZ,PROGRESSNOW AZ,21056
280034132055819,WhatsApp,WhatsApp Inc.,20785
260754507296508,The Voter Participation Center,Voter Participation Center,19650
198559607605482,Gunnigle 2020,Gunnigle 2020,19609
206291632794768,Coral For Arizona,Coral 4 AZ. Authorized by Coral Evans,19458
8501031021,VoteVets.org,VOTEVETS,19304
278654918829164,Arizona Center for Empowerment,Arizona Center for Empowerment,19257
100772435078679,Arizona Families First,Arizona Families First,19010
207033659336173,Clean Elections,Citizens Clean Elections Commission,18744
160892854539470,Brandon Martin for Congress,MARTIN FOR FREEDOM,18090
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,17600
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,17485
567321037078441,Gerard "Jerry" Sheridan,Sheridan4Sheriff2020,17089
218295086290055,American Leadership Committee,"American Leadership Committee, and not authorized by any candidate.",16819
169130470583214,Demand Justice,Demand Justice,16565
170004579701070,RootsAction,Action For A Progressive Future,16456
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,16449
72186095846,Center For American Progress Action Fund,Center for American Progress Action Fund,16356
442159053368561,Women Speak Out PAC,Women Speak Out PAC,16027
107587444304681,Win Black / Pa'lante,Fight For The Base,15690
431099560800970,Front Page Live,"Front Page Live, Inc.",15576
1764306443784870,PL+US Action Fund,PLUS ACTION FUND,15414
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,15355
171287339973880,LCV Victory Fund,"LCV Victory Fund, 202-785-8683, and not authorized by any candidate or candidate’s committee",14978
1030021013726452,Muscato For Congress,MUSCATO FOR CONGRESS,14953
43287633515,Alliance for Climate Education,Alliance for Climate Education,14923
112297957222321,Aqui Se Vota,Instituto Power,14398
1171214716252298,"Adrian Fontes, Maricopa County Recorder",Maricopa County Recorder's Office,14040
679119985616652,Ervin For Arizona,Ervin for AZ Senate - Authorized by Douglas Ervin,13977
109944567501859,Trump for Arizona,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,13946
112340430619303,Can't Trust Schweikert,"the American Federation of State, County & Municipal Employees PEOPLE, AFSCMEPEOPLE.org. Not authorized by any candidate or candidate’s committee.",13822
546580165686422,Vote for Lea Marquez Peterson,Vote for Lea Marquez Peterson. Authorized by Lea Marquez Peterson.,13735
851152471658846,Arizona Free Enterprise Club,Arizona Free Enterprise Club,13665
283925872728,Stand for Children Arizona,Stand for Children Arizona IEC,13066
