Page ID,Page Name,Disclaimer,Amount Spent (USD)
108824017345866,Facebook,"Facebook, Inc.",68944
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,59004
20531316728,Facebook App,"Facebook, Inc.",40316
925007000949719,ExxonMobil,Exxon Mobil Corporation,32038
367152833370567,Instagram,"Facebook, Inc.",28075
7860876103,Joe Biden,BIDEN VICTORY FUND,27751
277414242013,Joyce Elliott,JOYCE ELLIOTT FOR CONGRESS,24615
156968474833352,Stop Republicans,Stop Republicans,23449
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,16544
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",15195
1374601146109275,French Hill for Arkansas,French Hill for Arkansas,14912
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,13279
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,12339
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,10634
291492131562173,Arkansas Census 2020,Arkansas Impact Philanthropy,6273
24413227922,Kamala Harris,BIDEN VICTORY FUND,6235
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,6162
202626512363,U.S. Census Bureau,U.S. Census Bureau,6113
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,6087
20787991568,Senate Democrats,DSCC,5539
6500552187,Hulu,"HULU, LLC",5471
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,5435
115822368437716,Americans for Prosperity - Arkansas,AMERICANS FOR PROSPERITY,5384
104856814505092,The Kids Guide,The Kids Guide,5270
470241276500901,Women Vote,WOMEN VOTE!,5007
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,4888
51405613519,Focus on the Family,Focus on the Family,4774
280034132055819,WhatsApp,WhatsApp Inc.,4693
127225910653607,PragerU,PragerU,4682
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,4594
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,4584
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,4581
106706714469410,For AR People,For AR People,4479
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,4478
2352630938293825,Mytacticalpromos,Entremax,4277
327837911149503,2A4Life,2A4LIFE LLC,3802
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,3797
538649879867825,Red Table Talk,"Facebook, Inc.",3793
539058359918955,Gary Rogers for Judge,Gary Rogers for Circuit Judge,3581
102329278035976,Protect AR Communities,Protect Arkansas Communities,3465
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,3406
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,3215
1374134752633656,New Health Plans,Shop Insurance Plans,3191
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,3099
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,2967
111797416942615,Vote for Roads,Vote for Roads. Vote for Issue 1,2916
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,2882
9324910069,NRSC,NRSC,2867
158791100909689,Concerned Veterans for America,Concerned Veterans for America,2756
92925746942,Judicial Watch,Judicial Watch,2728
1449461518652183,4Patriots,4Patriots LLC,2685
105577974544303,The USA Needs More Patriots,AmeriPolling,2683
9002965673,Freeform,Freeform,2607
107210084216238,Humanity Forward,Humanity Forward,2507
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,2450
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,2447
45002877992,FOX,FOX Broadcasting,2410
314499212242,Pfizer,Pfizer Inc.,2356
114710126648118,Republican Dogs,Republican Dogs,2340
9465008123,Amazon.com,These ads ran without a disclaimer,2319
443329669123990,USAFacts,USAFacts Institute,2276
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,2229
408250066356,Bill O'Reilly,"Bill Me, Inc.",2198
213792049451918,Stand For America,Stand For America Inc,2181
294695424535158,Shawn Johnson for Judge,Committee to Elect Shawn Johnson,2178
338028696036,Yahoo News,Verizon Media Inc,2137
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,2130
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,2117
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",2076
110018833813683,Flip the Senate,SMP,2060
168051710543266,Lacy Johnson,Lacy Johnson for Congress,2038
100137754724934,Trump 2020 Supporters,Proud Right Winger,2018
111040616957411,Ricky Dale Harrington Jr for US Senate,Ricky Dale Harrington,1968
537320823005287,Jim Sorvillo for State Representative,Jim Sorvillo for State Representative,1938
224684514243482,Tom Cotton,"COTTON FOR SENATE, INC.",1916
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,1907
537709253344323,The News Break - News Break,These ads ran without a disclaimer,1879
328853823844484,Balance of Power,Balance of Power,1842
103983379801,Texas Democratic Party,SUPER STATES 2020,1803
105756057589080,The Lincoln Project,The Lincoln Project,1801
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1796
109379100777665,Patriotism Isn't Dead,Patriot Polling,1790
1441380836119737,"City of El Dorado, AR - City Hall",Heather Denise Mcvay,1778
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,1743
602714436529710,End Citizens United,END CITIZENS UNITED,1741
582081579084761,Elect Stuart S. Mackey,Stuart Mackey for Little Rock School Board,1733
33713453361,Amazon Prime Video,These ads ran without a disclaimer,1713
1900853040223913,Count All Kids,Partnership for America's Children with Facebook Ad Credits,1708
484112108637869,Celeste Williams for Arkansas,CAMPAIGN TO ELECT CELESTE WILLIAMS,1691
247611728625098,Harold Copenhaver for Mayor,Harold Copenhaver for Mayor,1686
896471357114197,Carlton Wing State Representative District 38,Wing for State Representative,1682
228754857151053,House Majority PAC,House Majority PAC,1681
461204744067686,Family Protection Association,Family Protection Association,1676
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,1650
95356211637,Ben Ferguson,Ben Ferguson show,1649
1542211616082568,The Momentary,The Momentary,1639
244929708853349,Spotify,Spotify USA Inc.,1593
717115395103069,PrintedKicks,Printed Kicks,1579
