Page ID,Page Name,Disclaimer,Amount Spent (USD)
107925603976843,Yes on Prop 22,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Uber Technologies, Lyft, and DoorDash.",2101722
100217778224266,No On Proposition 23,"NO on 23 - Stop the Dangerous & Costly Dialysis Proposition, a coalition of dialysis providers, nurses, doctors and patients. Committee major funding from DaVita, Fresenius Medical Care, US Renal Care",1578786
107925603976843,Yes on Prop 22,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Lyft, Uber Technologies, and DoorDash.",1171699
7860876103,Joe Biden,BIDEN VICTORY FUND,1120639
156968474833352,Stop Republicans,Stop Republicans,913384
367152833370567,Instagram,"Facebook, Inc.",826711
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,788512
108824017345866,Facebook,"Facebook, Inc.",742682
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,581754
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,566640
110224710639481,YES on 14: CA for Stem Cell Research & Cures,"YES on 14: Californians for Stem Cell Research, Treatments and Cures. Committee major funding from Robert N. Klein II and Affiliated Entity Klein Financial Corporation, Dagmar Dolby, JDRF International. Funding details at www.fppc.ca.gov",474767
20531316728,Facebook App,"Facebook, Inc.",463477
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,387098
149509599222913,No On Prop 21,No on Prop 21: Californians for Responsible Housing,384833
179204028758675,California Secretary of State,California Secretary of State,356764
1676291615740480,Yes on 21,Homeowners and Tenants United,289332
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,287785
24413227922,Kamala Harris,BIDEN VICTORY FUND,266004
20787991568,Senate Democrats,DSCC,258367
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,248972
116505355909,No On Prop 15,"No on Prop 15 - Stop Higher Property Taxes and Save Prop 13 - a coalition of California homeowners, taxpayers, and businesses",239198
114148480355756,Yes on Prop 16,"Yes on 16, Opportunity for All Coalition, sponsored by civil rights organizations. Committee major funding from: M. Quinn Delaney, Kaiser Foundation Health Plan, Inc. and the Hospitals, Patricia Quillin.",220348
925007000949719,ExxonMobil,Exxon Mobil Corporation,204945
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",198467
110026044048401,No on Prop 22,"No on Prop 22, coalition to protect riders and drivers sponsored by CA labor. Committee major funding from International Brotherhood of Teamsters Service Employees International Union United Healthcare Workers West State Building and Construction Trades Council of California",198300
102972678133490,Californians For Equal Rights,"Californians for Equal Rights, No on 16, committee major funding by Students for Fair Admissions (# 1427809).",188190
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,182757
228754857151053,House Majority PAC,House Majority PAC,168197
280034132055819,WhatsApp,WhatsApp Inc.,162239
428821014132730,Katie Porter,Katie Porter For Congress,155167
110018833813683,Flip the Senate,SMP,139442
248422805193353,The California Endowment,The California Endowment,136107
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,130416
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,128955
202626512363,U.S. Census Bureau,U.S. Census Bureau,128712
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,126244
103983379801,Texas Democratic Party,SUPER STATES 2020,118251
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,117977
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,110517
1596671280578981,Schools & Communities First,Schools and Communities First,104613
105756057589080,The Lincoln Project,The Lincoln Project,100798
410353089720802,Santa Clara County - Office of the Census,"County of Santa Clara, Office of the Census",98795
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,95146
602714436529710,End Citizens United,END CITIZENS UNITED,89384
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,83868
111455507353353,Multi-Millionaire Mike Garcia,DCCC,83521
179204028758675,California Secretary of State,California Secretary of State with Facebook Ad Credits,82809
100150481787475,Yes on J,Committee to Re-Imagine L.A. County,81572
103278728094811,CA Family Farmers Against Prop 15,Family Farmers Against Prop 15 – Stop Higher Food Taxes,77370
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,70140
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,69447
112727840498351,No On Prop 20,No on Prop 20 - Californians Against the Prison Spending Scam,65725
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA-NAJJAR FOR CONGRESS,65132
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,63177
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,62683
118502801658228,Young Kim,Young Kim for Congress,60930
233116802464,Independent Voter,Independent Voter Project,58852
605168822998856,314 Action,314 ACTION FUND,58365
104856814505092,The Kids Guide,The Kids Guide,57866
174905503013610,Harley Rouda,HARLEY ROUDA FOR CONGRESS,56863
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,52976
347844152343949,Sara Jacobs,Sara Jacobs for Congress,51785
227778385157,L.A. County Registrar-Recorder,Los Angeles County Registrar-Recorder/County Clerk,50592
