Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,93815
156968474833352,Stop Republicans,Stop Republicans,73586
108824017345866,Facebook,"Facebook, Inc.",68808
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,53807
367152833370567,Instagram,"Facebook, Inc.",52437
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,49934
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,43349
20531316728,Facebook App,"Facebook, Inc.",38484
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,34301
24413227922,Kamala Harris,BIDEN VICTORY FUND,21491
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,21359
20787991568,Senate Democrats,DSCC,20385
925007000949719,ExxonMobil,Exxon Mobil Corporation,18890
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,17452
280034132055819,WhatsApp,WhatsApp Inc.,17389
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",15862
644655489007210,The Solar Institute,The Solar Institute,15463
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,12368
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,11585
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,11302
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,10731
202626512363,U.S. Census Bureau,U.S. Census Bureau,10635
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,10400
110018833813683,Flip the Senate,SMP,10319
103983379801,Texas Democratic Party,SUPER STATES 2020,9035
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,8975
326974419055,Xfinity,COMCAST CORPORATION,8449
428808574377826,David X. Sullivan,SULLIVAN FOR CONGRESS,8348
717339155320936,Better Solutions for Healthcare,Better Solutions for Healthcare,8227
105756057589080,The Lincoln Project,The Lincoln Project,8064
274000798088,Connecticut Republican Party,Connecticut Republican Party,7789
258982621353444,SEBAC,CT State Employee Bargaining Agent Coalition,7500
100662881656261,DeBarba For State Rep,DeBarba For State Rep,7135
463031467414553,Jack Perry for State Senate,Perry 2020,6662
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,6183
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,6000
846042892195824,Re-Elect Senator George Logan,Re-elect Senator Logan,5809
228754857151053,House Majority PAC,House Majority PAC,5523
602714436529710,End Citizens United,END CITIZENS UNITED,5273
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,5239
6500552187,Hulu,"HULU, LLC",5053
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,5043
106737187823771,Justice for Tianna,CT Inmate Medical Project LLC,4812
428821014132730,Katie Porter,Katie Porter For Congress,4790
594587074027748,Senator Kevin Witkos,Witkos 2020,4734
605168822998856,314 Action,314 ACTION FUND,4681
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,4665
171915456763518,Dan Champagne for State Senate,Champagne 4 Senate,4577
328853823844484,Balance of Power,Balance of Power,4414
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,4377
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,4192
538649879867825,Red Table Talk,"Facebook, Inc.",4169
170371520285147,State Senator Mary Daugherty Abrams,"Abrams for State Senate, Peter N Hargett Treasurer, Approved by Mary Daugherty Abrams",3947
1653089834804575,Jim Feehan for State Rep,Feehan for 120,3851
106634230981891,Kim Healy for State Senate,Kim Healy for CT,3846
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,3781
1000742886645168,Mary Fortier,Fortier for State Senate,3735
104856814505092,The Kids Guide,The Kids Guide,3674
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,3568
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,3538
327837911149503,2A4Life,2A4LIFE LLC,3476
100174688299245,Saunders For Senate,Saunders for Senate,3475
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,3393
102787534748500,Kousidis for Connecticut,Kousidis4CTSenate,3345
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,3316
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,3257
9002965673,Freeform,Freeform,3235
104614641200137,MeidasTouch,MEIDASTOUCH,3232
244929708853349,Spotify,Spotify USA Inc.,3231
296052277177349,Cathy Osten,Friends of Cathy Osten,3134
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,3079
103078951050057,Brian Marois for State Representative,Marois Is My Choice,3071
111428049989,Cal Cunningham,CAL FOR NC,2992
127225910653607,PragerU,PragerU,2969
