Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,22870
108824017345866,Facebook,"Facebook, Inc.",20024
158804851395613,Donyale For Delaware,Donyale Hall For Delaware,18877
156968474833352,Stop Republicans,Stop Republicans,18419
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,17442
104605054708056,A Better Delaware PAC,A Better Delaware,15773
154971387874165,Delaware Department of Health and Social Services (DHSS),Delaware Department of Health and Social Services,14619
469858450191090,Building Stronger Communities,Building Stronger Communities,14198
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,12506
367152833370567,Instagram,"Facebook, Inc.",12397
470241276500901,Women Vote,WOMEN VOTE!,12144
20531316728,Facebook App,"Facebook, Inc.",10201
108506830560787,Jessica Scarane,JESS SCARANE FOR DELAWARE,10183
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,9522
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,8946
105836350957650,Delaware Census,Delaware Census,6982
925007000949719,ExxonMobil,Exxon Mobil Corporation,6833
302182941354,AARP Advocates,AARP,6273
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,5264
20787991568,Senate Democrats,DSCC,5249
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",5240
202626512363,U.S. Census Bureau,U.S. Census Bureau,4981
125182621527545,Sarah McBride,Friends of Sarah McBride,4927
190400207672014,American Bankers Association,American Bankers Association,4887
24413227922,Kamala Harris,BIDEN VICTORY FUND,4856
7209432197,Chris Coons,CHRIS COONS FOR DELAWARE,4374
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,4279
326974419055,Xfinity,COMCAST CORPORATION,3777
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,3613
114710126648118,Republican Dogs,Republican Dogs,3347
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,3308
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,3235
545313338963764,Matt Meyer,Meyer for New Castle County,3154
954928058005590,Campaign for Smart Justice Delaware,"AMERICAN CIVIL LIBERTIES UNION OF DELAWARE, INC.",2970
2127656354229396,21st District Rep. Mike Ramone,Friends for Michael Ramone,2666
280034132055819,WhatsApp,WhatsApp Inc.,2641
105313704352045,Spiros for the 7th,Spiros Mantzavinos for the 7th,2525
109057270884648,K3Cpac,K3C PAC,2463
17432811417,Working Families Party,Working Families Party National Independent Expenditure Committee,2327
100240821517553,Lauren Witzke for Delaware,LAUREN WITZKE FOR DELAWARE,2303
350316025478383,When We All Vote,When We All Vote,2185
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",2045
109125527492224,Bonini for Delaware,Bonini for Delaware,2021
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,2016
328853823844484,Balance of Power,Balance of Power,1966
110018833813683,Flip the Senate,SMP,1965
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,1956
627288151114676,Organization Abuse,X Social Media LLC,1953
110108710370125,Madinah Wilson-Anton,Committee To Elect Madinah Wilson-Anton,1934
1994713000773597,Help Is Here,Delaware Department of Health and Social Services,1934
105756057589080,The Lincoln Project,The Lincoln Project,1898
812655115442012,Mike Smith,Mike Smith For Delaware,1789
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,1770
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,1650
103983379801,Texas Democratic Party,SUPER STATES 2020,1576
6500552187,Hulu,"HULU, LLC",1566
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,1564
228754857151053,House Majority PAC,House Majority PAC,1523
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,1504
176428355810046,Delaware Division of Public Health - DPH,Delaware Department of Health and Social Services,1500
497234353782908,Justice Delaware,Samuel Lawrence Guy,1491
42002969352,Center on Budget and Policy Priorities,Center on Budget and Policy Priorities,1367
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,1306
110762610521896,More Than A Vote,"More Than A Vote, Inc",1304
327837911149503,2A4Life,2A4LIFE LLC,1302
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,1287
538649879867825,Red Table Talk,"Facebook, Inc.",1276
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,1262
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,1253
602714436529710,End Citizens United,END CITIZENS UNITED,1227
104856814505092,The Kids Guide,The Kids Guide,1222
195494197151773,DNREC,Delaware Department of Natural Resources and Environmental Control,1212
428821014132730,Katie Porter,Katie Porter For Congress,1211
103368368136687,Citizens for Transparency and Inclusion,Citizens for Transparency and Inclusion,1190
111840507067847,Velda for Mayor,Velda for Mayor,1183
244929708853349,Spotify,Spotify USA Inc.,1173
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,1118
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1102
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,1096
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,1048
605168822998856,314 Action,314 ACTION FUND,1036
104806507835574,Re-Elect State Senator David McBride,Committee to Re-Elect Dave McBride,1011
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",1011
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,1011
127225910653607,PragerU,PragerU,968
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,940
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,927
651970698636663,Kyle Evans Gay,Friends of Kyle Evans Gay,920
104103054507547,John Kelly for Kent County Register of Wills,Kelly for Register of Wills,906
338028696036,Yahoo News,Verizon Media Inc,896
