Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,838135
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,747375
350316025478383,When We All Vote,When We All Vote,543071
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,265339
121111592617739,Secure the Vote Georgia,Georgia Secretary of State,256416
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,250352
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,207368
108824017345866,Facebook,"Facebook, Inc.",201178
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",193850
108182477657777,Georgia United Victory,Georgia United Victory,180774
268713027333418,The Georgia Action Fund,Georgia Action Fund,166112
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,164164
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,159593
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,153846
7860876103,Joe Biden,BIDEN FOR PRESIDENT,152572
367152833370567,Instagram,"Facebook, Inc.",139083
112479700577922,Trump For Georgia,"DONALD J. TRUMP FOR PRESIDENT, INC.",138044
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,136208
202626512363,U.S. Census Bureau,U.S. Census Bureau,117778
20531316728,Facebook App,"Facebook, Inc.",113881
50576707351,Republican State Leadership Committee,Republican State Leadership Committee,113688
156968474833352,Stop Republicans,Stop Republicans,109675
110749446963570,Courier,"Courier Newsroom, Inc.",102245
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,97423
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,91464
700806360047982,CFG Action,Club for Growth Action,90632
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",88629
1721333671443168,Majority Forward,MAJORITY FORWARD,87391
170591064699,Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",85482
133666160060982,Senate Majority PAC,SMP,77321
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",76685
925007000949719,ExxonMobil,Exxon Mobil Corporation,76359
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",75983
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,72637
