Page ID,Page Name,Disclaimer,Amount Spent (USD)
1461863774118436,Bureau of Statistics & Plans,Bureau of Statistics & Plans,7312
839110726214614,Realtors,NATIONAL ASSOCIATION OF REALTORS,1825
240142306105643,Responsible Guam - Michael F.Q. San Nicolas,MICHAEL SAN NICOLAS FOR CONGRESS,1506
113034087125584,Robert Underwood,Robert A Underwood,1214
108297274303860,Joanne Brown for Senator,COMMITTEE TO ELECT JOANNE M BROWN FOR SENATOR,829
205698873305873,Senator Kelly G. Marsh-Taitano,The Committee to Elect Kelly G. Marsh (Taitano),783
171540600327698,Senator Amanda L. Shelton,Amanda L. Shelton,664
150845118287330,Speaker Tina Rose Muña Barnes,Tina Rose Muna Barnes,599
106347817561634,Vince Borja for Senator,Committee to Elect Vince Borja for Senator,428
303943826419440,Wil Castro for Congress,4 Wil Drive,352
101927598293016,Lawrence Jay Alcairo for Guam Education Board,Lawrence Jay M Alcairo,316
101301278284850,Ken Leon Guerrero for Senator,Joaquin Leon Guerrero,292
147247385296588,Senator Telo T. Taitague,Telo Teresa Taitague,254
2026969954243929,Clynt Ridgell for Senator,Committee to Elect Clynt Ridgell,247
150845118287330,Speaker Tina Rose Muña Barnes,Chirag Mohan Bhojwani,160
1619846278287279,Progressive Democrats of Guam,Julian  C Janssen,146
463135357452749,Senator James Camacho Moylan,Committee to Re-Elect James Moylan for Senator,127
705750572817997,Senator Mary Camacho Torres,Mary Camacho Torres,115
100598891615567,The Informant,These ads ran without a disclaimer,≤100
335265877069930,Kitten Match,These ads ran without a disclaimer,≤100
956150571077941,SimCity BuildIt,These ads ran without a disclaimer,≤100
111006106975721,Celebration of Asher's Life,David J. Lubofsky,≤100
1729228660627938,Phillip Thomas Mendiola-Long,Phillip Thomas Mendiola Long,≤100
311061485730776,Paradise Fitness,These ads ran without a disclaimer,≤100
901210330048417,Last Shelter : Survival,These ads ran without a disclaimer,≤100
104269878008670,Chris Carillo for Senator,Chirag Mohan Bhojwani,≤100
114308365327046,Travis Scott,These ads ran without a disclaimer,≤100
103651361268101,Democratic Party of the Northern Mariana Islands,Democratic Party of the Northern Mariana Islands,≤100
771947142920359,IReader,These ads ran without a disclaimer,≤100
109253394199032,Excellent book,These ads ran without a disclaimer,≤100
112944037235256,Unidragon-Puzzle,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
109754057300089,Impossible Space,These ads ran without a disclaimer,≤100
569022853258776,Terrence K Williams,These ads ran without a disclaimer,≤100
277861575603017,Big Business,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
106848330899316,Easy Stickers,These ads ran without a disclaimer,≤100
108594957225601,VOCHI Video Effects App,These ads ran without a disclaimer,≤100
1623029207910755,NaturalAnnie essentials,These ads ran without a disclaimer,≤100
841674172695329,Self-Care Is For Everyone,These ads ran without a disclaimer,≤100
643645832937718,Fangeme,These ads ran without a disclaimer,≤100
