Page ID,Page Name,Disclaimer,Amount Spent (USD)
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,48083
108824017345866,Facebook,"Facebook, Inc.",35355
7860876103,Joe Biden,BIDEN VICTORY FUND,26463
20531316728,Facebook App,"Facebook, Inc.",20784
156968474833352,Stop Republicans,Stop Republicans,19627
367152833370567,Instagram,"Facebook, Inc.",19098
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,13747
925007000949719,ExxonMobil,Exxon Mobil Corporation,12235
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",10796
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,10546
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,10172
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,8833
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,7003
112720626850415,Rudy For Congress,RUDY FOR CONGRESS,6801
24413227922,Kamala Harris,BIDEN VICTORY FUND,6074
20787991568,Senate Democrats,DSCC,5327
104856814505092,The Kids Guide,The Kids Guide,5168
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,5121
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,4863
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,4509
1416776665285641,Idaho Mining Association,MIDAS GOLD CORP,4340
327837911149503,2A4Life,2A4LIFE LLC,4062
127225910653607,PragerU,PragerU,3804
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,3773
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,3223
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,3199
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,3172
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,3113
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,2878
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,2776
6500552187,Hulu,"HULU, LLC",2650
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,2636
2352630938293825,Mytacticalpromos,Entremax,2610
1449461518652183,4Patriots,4Patriots LLC,2583
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,2577
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,2383
105756057589080,The Lincoln Project,The Lincoln Project,2344
280034132055819,WhatsApp,WhatsApp Inc.,2321
110018833813683,Flip the Senate,SMP,2300
114710126648118,Republican Dogs,Republican Dogs,2298
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,2178
103983379801,Texas Democratic Party,SUPER STATES 2020,2142
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,2120
100392931351292,Northwest RiverPartners,Northwest RiverPartners,2107
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,2040
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,1996
717115395103069,PrintedKicks,Printed Kicks,1988
538649879867825,Red Table Talk,"Facebook, Inc.",1847
9002965673,Freeform,Freeform,1836
168051710543266,Lacy Johnson,Lacy Johnson for Congress,1800
45002877992,FOX,FOX Broadcasting,1781
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1781
602714436529710,End Citizens United,END CITIZENS UNITED,1771
51405613519,Focus on the Family,Focus on the Family,1713
105577974544303,The USA Needs More Patriots,AmeriPolling,1696
228754857151053,House Majority PAC,House Majority PAC,1644
9324910069,NRSC,NRSC,1624
100137754724934,Trump 2020 Supporters,Proud Right Winger,1623
164637596937136,AARP Idaho,AARP,1516
510682295654796,Idaho Fish & Wildlife Foundation,Idaho Fish & Wildlife Foundation,1514
435822183152685,Midas Gold,These ads ran without a disclaimer,1513
43163225096,Idaho Democratic Party,IDAHO STATE DEMOCRATIC PARTY,1500
92925746942,Judicial Watch,Judicial Watch,1487
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,1467
328853823844484,Balance of Power,Balance of Power,1466
2353537341582545,Proud Patriots,Proud Patriots,1457
269719197271294,Accountable.US,Accountable.US,1454
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,1390
9465008123,Amazon.com,These ads ran without a disclaimer,1383
428821014132730,Katie Porter,Katie Porter For Congress,1374
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,1362
605168822998856,314 Action,314 ACTION FUND,1352
451079825294599,Ada County Commissioner Diana Lachiondo,Lachiondo For Ada,1324
106574022825492,Idaho Second Amendment Alliance,Idaho Second Amendment Alliance,1288
158791100909689,Concerned Veterans for America,Concerned Veterans for America,1274
202626512363,U.S. Census Bureau,U.S. Census Bureau,1267
102597609787637,City of Boise,"BOISE, CITY OF",1256
109379100777665,Patriotism Isn't Dead,Patriot Polling,1212
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",1203
114009933764548,The Patriot Club,RightWingGear,1195
461204744067686,Family Protection Association,Family Protection Association,1182
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,1179
213792049451918,Stand For America,Stand For America Inc,1153
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,1123
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,1111
200650357207240,I Love My Freedom,I Love My Freedom,1107
107210084216238,Humanity Forward,Humanity Forward,1092
108790689218537,Idaho Republican Party,Idaho Republican Party,1091
435822183152685,Midas Gold,MIDAS GOLD CORP,1080
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,1078
203805062990264,Ben Shapiro,The Daily Wire,1076
215199482635728,Alek Skarlatos,ALEK FOR OREGON,1062
314499212242,Pfizer,Pfizer Inc.,1016
106224464107240,Jo Jorgensen,Jo Jorgensen for President,1000
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,995
6204742571,Sierra Club,SIERRA CLUB,995
112469786315,Boise Rescue Mission Ministries,BOISE RESCUE MISSION,986
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",986
1900853040223913,Count All Kids,Partnership for America's Children with Facebook Ad Credits,962
530604487365010,Old Glory Flagpole Kits,Service First,956
33713453361,Amazon Prime Video,These ads ran without a disclaimer,944
1883837055193241,Shield Republic,Shield Republic,912
305832706292882,American Gun Association,GunAssociation.org,903
322194751726887,Rep. Russ Fulcher,The Office of Congressman Russ Fulcher,896
46093654473,National Republican Congressional Committee,NRCC,889
443329669123990,USAFacts,USAFacts Institute,885
104614641200137,MeidasTouch,MEIDASTOUCH,883
271121199639002,Paulette for Senate 2020,PAULETTE FOR SENATE 2020,866
18982436812,ACLU,American Civil Liberties Union,864
408250066356,Bill O'Reilly,"Bill Me, Inc.",858
95356211637,Ben Ferguson,Ben Ferguson show,856
5435784683,Greenpeace USA,"GREENPEACE, INC.",852
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,849
277005566267077,Blueland,Blueland,849
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,846
203197030603239,8 Billion Trees,8 Billion Trees,840
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,826
85452072376,Newsmax,Newsmax Media,811
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,806
95181800661,Levi's,Levi's®,804
1109093812491437,Blaze Media,Blaze Media LLC,792
596556607135301,The Earthling Co.,The Earthling Co.,791
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,783
244929708853349,Spotify,Spotify USA Inc.,777
33713453361,Amazon Prime Video,Amazon Prime Video,777
8325302025,Friends of the Earth U.S.,Friends of the Earth,773
106323360959211,Patriots Republic,Matthew James Stine,762
242077219243971,The Presidential Coalition,The Presidential Coalition,744
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,734
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",731
132492254050920,American AF,AAF Nation,727
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",727
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,724
100256754899828,Patriot's Cave,Patriots Cave,717
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,713
143528022388140,The Allstate Foundation,The Allstate Foundation,709
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,706
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,703
108109934203874,Insta Shop Boutique,Insta Shop Boutique,700
