Page ID,Page Name,Disclaimer,Amount Spent (USD)
108824017345866,Facebook,"Facebook, Inc.",130568
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,124294
20531316728,Facebook App,"Facebook, Inc.",85219
7860876103,Joe Biden,BIDEN VICTORY FUND,82204
367152833370567,Instagram,"Facebook, Inc.",64712
156968474833352,Stop Republicans,Stop Republicans,62129
243399129090445,Christina Hale,HOOSIERS FOR HALE,60977
700806360047982,CFG Action,Club for Growth Action,51568
925007000949719,ExxonMobil,Exxon Mobil Corporation,49070
587835028017559,Eric Holcomb,Eric Holcomb for Indiana,48459
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,45660
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,34454
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",30150
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,27616
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,27519
108464460953715,2020 Priorities,DCCC,24516
208689875516,Indiana State Teachers Association,INDIANA STATE TEACHERS ASSOCIATION,23986
373309922717773,Indiana Secretary of State Connie Lawson,Indiana Secretary of State,22272
24413227922,Kamala Harris,BIDEN VICTORY FUND,18770
105318696193467,Indiana AFL-CIO,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGANIZATIONS,17206
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,16700
717339155320936,Better Solutions for Healthcare,Better Solutions for Healthcare,16199
20787991568,Senate Democrats,DSCC,15532
296207827414521,NRCC IE,NRCC,14523
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,13145
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,12712
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,12318
100296230875,Indiana Senate Majority Campaign Committee (SMCC),Indiana Senate Majority Campaign Committee,11189
1529049547400958,State Senator John Ruckelshaus,Hoosiers for Ruckelshaus,11087
104856814505092,The Kids Guide,The Kids Guide,10710
6500552187,Hulu,"HULU, LLC",10689
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,10541
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,10007
280034132055819,WhatsApp,WhatsApp Inc.,9676
2352630938293825,Mytacticalpromos,Entremax,9455
127225910653607,PragerU,PragerU,9371
327837911149503,2A4Life,2A4LIFE LLC,9123
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,9123
202626512363,U.S. Census Bureau,U.S. Census Bureau,9101
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,8592
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,8577
538649879867825,Red Table Talk,"Facebook, Inc.",8057
54312801874,Indiana Republican Party,Indiana Republican State Committee,7901
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,7852
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,7668
100989678266634,One More Voice,"Indiana Citizen Education Foundation, Inc.",7421
782833968493047,Sandlin for Senate,Sandlin for Senate,7195
51405613519,Focus on the Family,Focus on the Family,6984
108524420538011,Hoosiers for Renewables,Hoosiers for Renewables LLC,6698
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,6604
105355871121994,Indiana Unclaimed Property Division,These ads ran without a disclaimer,6059
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,5883
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,5794
9002965673,Freeform,Freeform,5670
110018833813683,Flip the Senate,SMP,5667
45002877992,FOX,FOX Broadcasting,5516
158791100909689,Concerned Veterans for America,Concerned Veterans for America,5445
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,5441
328853823844484,Balance of Power,Balance of Power,5434
9465008123,Amazon.com,These ads ran without a disclaimer,5402
105577974544303,The USA Needs More Patriots,AmeriPolling,5398
105756057589080,The Lincoln Project,The Lincoln Project,5349
9324910069,NRSC,NRSC,5322
103983379801,Texas Democratic Party,SUPER STATES 2020,5321
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,5222
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,5204
1374134752633656,New Health Plans,Shop Insurance Plans,5041
249220035141307,Planned Parenthood of Indiana and Kentucky,Planned Parenthood of Indiana and Kentucky,4890
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,4883
92925746942,Judicial Watch,Judicial Watch,4882
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,4818
1295279420598401,Victoria Spartz,VICTORIA SPARTZ FOR CONGRESS,4771
1449461518652183,4Patriots,4Patriots LLC,4688
228754857151053,House Majority PAC,House Majority PAC,4678
100137754724934,Trump 2020 Supporters,Proud Right Winger,4628
102640248230764,Pursuing Racial Justice Together at Purdue University,Purdue Division of Diversity & Inclusion,4541
1900853040223913,Count All Kids,Partnership for America's Children with Facebook Ad Credits,4526
107210084216238,Humanity Forward,Humanity Forward,4444
314499212242,Pfizer,Pfizer Inc.,4425
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",4356
2353537341582545,Proud Patriots,Proud Patriots,4251
443329669123990,USAFacts,USAFacts Institute,4241
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,4207
114710126648118,Republican Dogs,Republican Dogs,4186
200650357207240,I Love My Freedom,I Love My Freedom,4113
168051710543266,Lacy Johnson,Lacy Johnson for Congress,4094
602714436529710,End Citizens United,END CITIZENS UNITED,4085
461204744067686,Family Protection Association,Family Protection Association,3991
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,3991
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,3982
106224464107240,Jo Jorgensen,Jo Jorgensen for President,3953
428821014132730,Katie Porter,Katie Porter For Congress,3925
213792049451918,Stand For America,Stand For America Inc,3893
326974419055,Xfinity,COMCAST CORPORATION,3859
408250066356,Bill O'Reilly,"Bill Me, Inc.",3762
244929708853349,Spotify,Spotify USA Inc.,3720
24999686076,Jonathan Weinzapfel,Weinzapfel for Indiana,3692
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,3686
157522514269835,Stand for Children - Indiana,STAND FOR CHILDREN INC,3637
