Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,150352
108824017345866,Facebook,"Facebook, Inc.",122582
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,83461
367152833370567,Instagram,"Facebook, Inc.",83183
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,80808
156968474833352,Stop Republicans,Stop Republicans,63239
20531316728,Facebook App,"Facebook, Inc.",57190
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,55344
20787991568,Senate Democrats,DSCC,38589
24413227922,Kamala Harris,BIDEN VICTORY FUND,35307
925007000949719,ExxonMobil,Exxon Mobil Corporation,29989
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,29964
361414127262034,Maryland State Board of Elections,Maryland State Board of Elections,29831
106255537887770,Vote Yes on 2,"Vote Yes on Question 2. Sabrina Neal, Treasurer.",26903
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,26345
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",25644
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,20717
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,20093
280034132055819,WhatsApp,WhatsApp Inc.,19652
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,19365
108193380921326,Bob Wallace for Baltimore Mayor 2020,Robert Wallace For Mayor,18692
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,18647
110018833813683,Flip the Senate,SMP,18258
202626512363,U.S. Census Bureau,U.S. Census Bureau,17613
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,16352
1998005350416562,The Northeast Maglev,The Northeast Maglev,15875
105756057589080,The Lincoln Project,The Lincoln Project,14021
326974419055,Xfinity,COMCAST CORPORATION,13474
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,13245
117935698233960,Horizon Foundation,HORIZON FOUNDATION OF HOWARD COUNTY,12426
103983379801,Texas Democratic Party,SUPER STATES 2020,12031
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,10727
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,10011
1591120767618016,Marcus Goodwin,Marcus Goodwin For DC 2020,9760
228754857151053,House Majority PAC,House Majority PAC,9512
605168822998856,314 Action,314 ACTION FUND,9463
602714436529710,End Citizens United,END CITIZENS UNITED,9383
6500552187,Hulu,"HULU, LLC",9145
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,8668
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,8501
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,8119
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,8110
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,8056
538649879867825,Red Table Talk,"Facebook, Inc.",7968
1235234926651814,51 for 51,51 for 51,7688
428821014132730,Katie Porter,Katie Porter For Congress,7607
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,7466
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,7354
244929708853349,Spotify,Spotify USA Inc.,7192
328853823844484,Balance of Power,Balance of Power,6919
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,6523
111428049989,Cal Cunningham,CAL FOR NC,6474
33713453361,Amazon Prime Video,Amazon Prime Video,6405
104856814505092,The Kids Guide,The Kids Guide,6392
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,6194
9002965673,Freeform,Freeform,6161
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",6124
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,6055
7833534974,Florida Democratic Party,Florida Democratic Party,5830
104224114671958,Energy For Progress,The American Petroleum Institute,5806
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,5745
338028696036,Yahoo News,Verizon Media Inc,5709
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5581
327837911149503,2A4Life,2A4LIFE LLC,5576
2266219870058548,Judge Richard Titus,Citizens to Retain Judge Richard Titus,5404
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,5392
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,5232
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",5042
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,4839
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,4726
127225910653607,PragerU,PragerU,4706
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,4684
104614641200137,MeidasTouch,MEIDASTOUCH,4679
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,4638
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,4497
107210084216238,Humanity Forward,Humanity Forward,4496
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,4484
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,4467
168051710543266,Lacy Johnson,Lacy Johnson for Congress,4181
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,4176
