Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,235667
156968474833352,Stop Republicans,Stop Republicans,181680
108824017345866,Facebook,"Facebook, Inc.",135938
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,125390
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,125368
100387821391085,Coalition for Safe and Secure Data,Coalition for Safe and Secure Data,117489
367152833370567,Instagram,"Facebook, Inc.",104770
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,88369
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,79148
20531316728,Facebook App,"Facebook, Inc.",73172
111581113532778,Yes on 2: Ranked Choice Voting,Ranked Choice Voting 2020 Committee,66327
24413227922,Kamala Harris,BIDEN VICTORY FUND,56742
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,53825
20787991568,Senate Democrats,DSCC,52374
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,47801
198899403470180,Massachusetts Right to Repair Coalition,Mass Right To Repair Committee,46283
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,42125
110018833813683,Flip the Senate,SMP,30915
280034132055819,WhatsApp,WhatsApp Inc.,30273
925007000949719,ExxonMobil,Exxon Mobil Corporation,30105
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,27677
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",25621
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,25476
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,24155
202626512363,U.S. Census Bureau,U.S. Census Bureau,23703
103983379801,Texas Democratic Party,SUPER STATES 2020,22206
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,20796
105756057589080,The Lincoln Project,The Lincoln Project,19755
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,19679
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,17536
602714436529710,End Citizens United,END CITIZENS UNITED,14437
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,13904
605168822998856,314 Action,314 ACTION FUND,13899
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,13717
228754857151053,House Majority PAC,House Majority PAC,13395
115741636061,Eastern Bank,Eastern Bank,13046
120945717945722,Uber,Uber,12657
428821014132730,Katie Porter,Katie Porter For Congress,12127
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,10978
111428049989,Cal Cunningham,CAL FOR NC,9588
6500552187,Hulu,"HULU, LLC",9412
328853823844484,Balance of Power,Balance of Power,9148
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,8970
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,8901
378882682204996,Michelle Wu,The Wu Committee,8745
7833534974,Florida Democratic Party,Florida Democratic Party,8284
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,8060
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,7623
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,7447
19554217292,American Heart Association: You're the Cure,American Heart Association,7204
538649879867825,Red Table Talk,"Facebook, Inc.",7109
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,6991
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,6953
104614641200137,MeidasTouch,MEIDASTOUCH,6874
107210084216238,Humanity Forward,Humanity Forward,6810
456426371143722,Center on Civic Engagement,Center on Civic Engagement,6620
105199626748,Massachusetts Republican Party,Massachusetts Republican Party,6569
244929708853349,Spotify,Spotify USA Inc.,6468
104346771140701,Kevin O'Connor for US Senate,Kevin O’Connor for US Senate,6431
9002965673,Freeform,Freeform,6404
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,6340
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,6281
104856814505092,The Kids Guide,The Kids Guide,6255
327837911149503,2A4Life,2A4LIFE LLC,6207
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5933
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,5925
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,5905
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,5835
5435784683,Greenpeace USA,"GREENPEACE, INC.",5744
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,5467
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,5434
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,5375
207116385995301,Massachusetts Clean Energy Center,Timothy A Davies,5290
314499212242,Pfizer,Pfizer Inc.,5242
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,5237
277005566267077,Blueland,Blueland,5222
95181800661,Levi's,Levi's®,5155
23875187730,Feeding America,Feeding America,5136
8501031021,VoteVets.org,VOTEVETS,5111
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,5102
18982436812,ACLU,American Civil Liberties Union,5079
203197030603239,8 Billion Trees,8 Billion Trees,5073
8325302025,Friends of the Earth U.S.,Friends of the Earth,5068
100926135067368,Defend Your Police,Defend Your Police,4884
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",4729
127225910653607,PragerU,PragerU,4708
