Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,1316167
7860876103,Joe Biden,BIDEN FOR PRESIDENT,436858
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,411728
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,380986
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",366690
6713653788,Gary Peters,PETERS FOR MICHIGAN,359057
242077219243971,The Presidential Coalition,The Presidential Coalition,285850
470241276500901,Women Vote,WOMEN VOTE!,236970
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",209407
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,205965
104033728104744,Michigan Values,SMP,191484
108824017345866,Facebook,"Facebook, Inc.",190143
604038030097923,We Make Michigan,The Story of Us,178237
580610428636345,Fight for $15,Fight for $15,173878
190094106128575,Vote By Mail 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,173360
126660277417565,Engage Michigan,Engage Michigan,165673
103218494866778,Michigan Votes Trump Out,TECH FOR CAMPAIGNS,157458
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,156635
105479921284817,Trump For Michigan,"DONALD J. TRUMP FOR PRESIDENT, INC.",150454
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,142388
156968474833352,Stop Republicans,Stop Republicans,134903
20531316728,Facebook App,"Facebook, Inc.",110265
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,100067
110124618713,American Principles Project,AMERICAN PRINCIPLES PROJECT PAC,98954
367152833370567,Instagram,"Facebook, Inc.",98424
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",97003
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,95015
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,94169
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,93733
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",93238
1204754733024419,People's Power Grab,ACRONYM,83782
1012679305536045,Elissa Slotkin for Congress,ELISSA SLOTKIN FOR CONGRESS,78106
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,74546
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,73123
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",72307
103026384819654,How to Vote,ACRONYM,71347
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,69134
