Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,518750
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,239744
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,162061
242077219243971,The Presidential Coalition,The Presidential Coalition,143391
108824017345866,Facebook,"Facebook, Inc.",125117
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Action Fund,124401
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,109486
107553074295243,Climate Vote MN,Climate Vote MN,108934
470241276500901,Women Vote,WOMEN VOTE!,104686
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",104201
156968474833352,Stop Republicans,Stop Republicans,101951
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,101485
2040270322863853,Tina Smith,TINA SMITH FOR MINNESOTA,97540
7860876103,Joe Biden,BIDEN FOR PRESIDENT,85347
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,72969
112936323884151,Minnesota Votes Trump Out,TECH FOR CAMPAIGNS,72089
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,71940
261663760956534,America First Policies,America First Policies Inc,70946
664770743730817,Dan Feehan for Congress,FRIENDS OF DAN FEEHAN,70214
165282683518197,Minnesota Department of Health,Minnesota Department of Health,69308
130467958471,Jason Lewis,Jason Lewis for Senate,61709
20531316728,Facebook App,"Facebook, Inc.",61414
251769592193596,Minnesota Values Project,DFL House Caucus,59965
100632698451078,Minnesota Values,DFL Senate Caucus,58408
45169169993,Planned Parenthood Minnesota Advocate,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,53912
367152833370567,Instagram,"Facebook, Inc.",52752
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,50671
101525041616176,Power the Polls,Power The Polls,50315
107483817554072,WorkMoney,WorkMoney,50206
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,49208
104354594734685,Trump For Minnesota,"DONALD J. TRUMP FOR PRESIDENT, INC.",42190
166623896739812,Citizens United Political Victory Fund,Citizens United Political Victory Fund,39911
225507764589310,Dean Phillips for Congress,DEAN PHILLIPS FOR CONGRESS,37856
100609191787271,Common Sense Voters Of America LLC,Common Sense Voters of America LLC,37814
24413227922,Kamala Harris,BIDEN VICTORY FUND,34466
215653202574079,Future Majority,"Future Majority, Inc",33491
163303407407167,State of Great MN,Coalition of Minnesota Businesses,33139
350316025478383,When We All Vote,When We All Vote,32448
260754507296508,The Voter Participation Center,Voter Participation Center,32369
102203271606989,Minnesota Votes,TECH FOR CAMPAIGNS,31443
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,31356
1428283027462702,Restoration PAC,RESTORATION PAC,30364
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,29773
20787991568,Senate Democrats,DSCC,29358
1642386799323957,Angie Craig,ANGIE CRAIG FOR CONGRESS,28617
925007000949719,ExxonMobil,Exxon Mobil Corporation,28454
105246547735959,North Star Values,Senate Victory Fund,26014
84206511914,MN AFL-CIO,Minnesota AFL-CIO Politcal Fund,25557
107589617769668,Minnesota Fact Check,DFL Senate Caucus,24892
74697123892,SEIU MN State Council,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),24268
29776517202,Second Harvest Heartland,SECOND HARVEST HEARTLAND,24033
74697123892,SEIU MN State Council,SEIU MN State Council,23994
90072588167,Education Minnesota,EDUCATION MINNESOTA,23332
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,23286
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",22786
102595498024546,MN vs Trump,Alliance for a Better Minnesota Federal PAC,22581
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,22485
1556932204325823,ProgressPop,ProgressPop,20171
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,20071
210820618956311,Community Change Action,Win Justice,19817
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,19063
228754857151053,House Majority PAC,House Majority PAC,18715
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,18160
107037332686173,Michelle Fischbach for Congress,FISCHBACH FOR CONGRESS,16403
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,16228
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,15270
70373038195,FairVote Minnesota,Fairvote Minnesota,14943
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,14787
1700040490027062,Faith In Minnesota,Faith in Minnesota,14396
113183307192061,We Make MN,Better Together MN,14084
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,13522
110018833813683,Flip the Senate,SMP,12856
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,12827
112325855474892,Speak Up For Education and Kids,National Education Association,12704
296207827414521,NRCC IE,NRCC,12234
49560242814,Consumer Energy Alliance,Consumer Energy Alliance,12208
