Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,338326
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,252957
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,95813
470241276500901,Women Vote,WOMEN VOTE!,80053
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,63061
108824017345866,Facebook,"Facebook, Inc.",60791
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",54835
242077219243971,The Presidential Coalition,The Presidential Coalition,51975
233280624565048,Stronger Nevada PAC,Stronger Nevada PAC,50993
7860876103,Joe Biden,BIDEN FOR PRESIDENT,49399
367152833370567,Instagram,"Facebook, Inc.",48546
868259909915525,Susie Lee,Susie Lee for Congress,46739
55549065733,Voto Latino,VOTO LATINO INC.,45228
20531316728,Facebook App,"Facebook, Inc.",38063
156968474833352,Stop Republicans,Stop Republicans,36421
126862261837,SEIU Nevada,"SEIU Political and Education Action Fund, seiu.org. Not authorized by any candidate or candidate's committee.",33111
126862261837,SEIU Nevada,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),30005
2054623111429269,Institute for a Progressive Nevada,Institute For A Progressive Nevada,29437
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,27117
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,24177
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,22982
925007000949719,ExxonMobil,Exxon Mobil Corporation,22232
146768935461732,Nevada Secretary of State,Office of the Nevada Secretary of State with Facebook Ad Credits,21326
331477136940451,Nevada Health Link,Nevada Health Link,20335
2391075684451912,Patricia Ackerman,FRIENDS FOR PATRICIA ACKERMAN,20147
108692310594568,UNITE HERE,UNITE HERE PAC,19652
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,19571
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,18695
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",17757
260754507296508,The Voter Participation Center,Voter Participation Center,17395
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,16577
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,16463
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,15275
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,13959
107567853995108,Michael Naft,Friends of Michael Naft,13828
104187388110503,Mark Amodei Isn't Fighting for Us,FRIENDS FOR PATRICIA ACKERMAN,12862
114625730266879,Republican Voters Against Trump,Defending Democracy Together,12676
1556932204325823,ProgressPop,ProgressPop,11640
8934429638,Planned Parenthood Action,Planned Parenthood Votes,11628
280034132055819,WhatsApp,WhatsApp Inc.,11486
350316025478383,When We All Vote,When We All Vote,11369
210820618956311,Community Change Action,Center for Community Change Action,11270
319106642374654,Nevadans Count,Nevadans Count,11082
118936039851261,Strategic Horizon,Strategic Horizon,10267
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",9934
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,9789
24413227922,Kamala Harris,BIDEN VICTORY FUND,9707
115537443622114,Dan Rodimer: Dangerous and Unfit,DCCC,8899
107165913986872,Stavros Anthony for District C,Stavros Anthony for District C,8884
20787991568,Senate Democrats,DSCC,8709
114788670288716,Esta En Tus Manos Nevada,Esta en Tus Manos Nevada,8558
202626512363,U.S. Census Bureau,U.S. Census Bureau,8477
2078647579047586,Project Pulso,Pulso,8303
103095887825967,Jason Stoffel For Judge,Jason Stoffel,7755
114349990014650,"Adam Ganz for District Court Judge, Dept. 3",Adam Ganz,7384
228754857151053,House Majority PAC,House Majority PAC,7373
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,7242
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,6967
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,6925
114003843758623,Trump for Nevada,"DONALD J. TRUMP FOR PRESIDENT, INC.",6529
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,6472
100219668159300,Alexis Hill,Friends of Alexis Hill,6422
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,6348
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,6175
105503757965275,Take Back The West,TAKE BACK THE WEST PAC,6047
615935445223906,Jim Marchant,MARCHANT FOR CONGRESS,5920
106773534199932,"Nadia Krall for District Court Judge, Dept. 4",Committee to Elect Nadia Krall,5912
1762560003973497,Marilyn Kirkpatrick,Kirkpatrick for Commission,5684
1600352356914768,PushBlack,PushBlack,5452
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,5430
106888260932693,Fair Census Project,RESOURCES LEGACY FUND,5412
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,5251
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,5196
105212134257301,Heidi Kasama,Elect Heidi Kasama,5173
436246516411674,ACTIONN,ACTIONN,5133
327837911149503,2A4Life,2A4LIFE LLC,5108
6500552187,Hulu,"HULU, LLC",4950
116020488347,Nevada Conservation League,Nevada Conservation League,4931
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,4854
104856814505092,The Kids Guide,The Kids Guide,4755
