Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,59384
6691963292,Jeanne Shaheen,SHAHEEN FOR SENATE,40918
205826147784,New Hampshire Democratic Party,NEW HAMPSHIRE DEMOCRATIC PARTY,32304
242077219243971,The Presidential Coalition,The Presidential Coalition,30000
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,28924
156968474833352,Stop Republicans,Stop Republicans,27023
108824017345866,Facebook,"Facebook, Inc.",26219
111686463879913,Respect New Hampshire,Respect New Hampshire,19987
261663760956534,America First Policies,America First Policies Inc,19976
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,18823
118490434816,New Hampshire Republican State Committee,New Hampshire Republican State Committee,15770
128557117506,New Hampshire Coalition Against Domestic and Sexual Violence,New Hampshire Coalition Against Domestic & Sexual Violence,14902
284276275725119,Family Friendly Action Fund,Family Friendly Action Fund,14821
367152833370567,Instagram,"Facebook, Inc.",14559
20531316728,Facebook App,"Facebook, Inc.",13928
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,13725
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,13653
7860876103,Joe Biden,BIDEN FOR PRESIDENT,11957
110373865639447,Chris Sununu,Friends of Chris Sununu,11274
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,10927
102624624931205,Vote in New Hampshire,NEW HAMPSHIRE DEMOCRATIC PARTY,10399
105368190818267,Corky Messner for Senate,MESSNER FOR SENATE,10383
2646326642260384,New Hampshire Senate Republicans,NH Senate Republicans PAC,8554
101525041616176,Power the Polls,Power The Polls,8519
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,8404
8934429638,Planned Parenthood Action,Planned Parenthood Votes,8157
24413227922,Kamala Harris,BIDEN VICTORY FUND,8129
925007000949719,ExxonMobil,Exxon Mobil Corporation,8031
152386885585568,Jenn Alford-Teaster for NH State Senate,Friends of Jenn Alford-Teaster,7945
20787991568,Senate Democrats,DSCC,7798
370099376346078,Americans for Prosperity New Hampshire,AMERICANS FOR PROSPERITY,7409
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",7337
154510321337994,Chris Pappas for Congress,CHRIS PAPPAS FOR CONGRESS,7214
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,6829
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,6076
1556932204325823,ProgressPop,ProgressPop,5705
332843176870186,Dr. Tom Sherman,Tom Sherman for State Senate,4979
101278694809805,Meme2020,Meme2020,4969
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,4919
100293291833897,No Income Tax New Hampshire,NH Senate Republicans PAC,4751
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,4456
302182941354,AARP Advocates,AARP,4357
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,4137
195435017689344,Mindi For NH,Mindi 4 NH,4056
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,3973
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,3695
198923770576,Annie Kuster,"KUSTER FOR CONGRESS, INC",3449
110018833813683,Flip the Senate,SMP,3347
521946677842731,Hillsborough County Republican Committee,Hillsborough County NH Republican Committee,3139
105756057589080,The Lincoln Project,The Lincoln Project,3060
103983379801,Texas Democratic Party,SUPER STATES 2020,3003
106187594572737,Save the Vote,End Citizens United Non-federal,2890
103526514708833,Lou Gargiulo for NH State Senate District 24,Friends of Lou Gargiulo PAC,2797
100258504855920,Matt Mowers for Congress,MOWERS FOR CONGRESS,2698
406304822776259,ACLU of New Hampshire,AMERICAN CIVIL LIBERTIES UNION,2623
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,2554
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",2397
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,2390
100609191787271,Common Sense Voters Of America LLC,Common Sense Voters of America LLC,2267
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,2242
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,2198
265043653699570,Dan Feltes for Governor,Friends of Feltes,2122
228754857151053,House Majority PAC,House Majority PAC,2121
104856814505092,The Kids Guide,The Kids Guide,2116
328853823844484,Balance of Power,Balance of Power,2094
202626512363,U.S. Census Bureau,U.S. Census Bureau,2045
109679657448551,Bruce Crochetiere for Executive Council,Bruce Crochetiere for Executive Council,2022
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,1989
106954524055078,Plunkett for New Hampshire,Plunkett for New Hampshire,1969
327837911149503,2A4Life,2A4LIFE LLC,1965
