Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,1261466
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,702872
190094106128575,Vote By Mail 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,686851
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",579633
111201130682281,One North Carolina,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,445594
106487520883333,Cardinal & Pine,"Courier Newsroom, Inc.",436091
1204754733024419,People's Power Grab,ACRONYM,331928
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,303585
103026384819654,How to Vote,ACRONYM,282849
105756057589080,The Lincoln Project,The Lincoln Project,264687
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,261285
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,250305
108824017345866,Facebook,"Facebook, Inc.",248922
350316025478383,When We All Vote,When We All Vote,235389
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,232125
7860876103,Joe Biden,BIDEN FOR PRESIDENT,228423
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,228329
114625730266879,Republican Voters Against Trump,Defending Democracy Together,173342
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,154274
1934191280189700,Health Care Voter,"Change Now, Inc.",153511
104987704684453,Corrupt Thom Tillis,DSCC,150058
332716170522025,America First Action,America First Action,145287
111428049989,Cal Cunningham,CAL FOR NC,142352
156968474833352,Stop Republicans,Stop Republicans,135274
100556838454730,Trump For North Carolina,"DONALD J. TRUMP FOR PRESIDENT, INC.",134940
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",134585
367152833370567,Instagram,"Facebook, Inc.",123814
108103774350322,We the People 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,117559
20531316728,Facebook App,"Facebook, Inc.",117000
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,110804
192013990902459,Roy Cooper,Cooper For North Carolina,109893
55549065733,Voto Latino,VOTO LATINO INC.,109401
202626512363,U.S. Census Bureau,U.S. Census Bureau,101463
261663760956534,America First Policies,America First Policies Inc,100840
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",99866
43287633515,Alliance for Climate Education,Alliance for Climate Education,93861
602714436529710,End Citizens United,END CITIZENS UNITED,92563
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,91403
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,90249
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,89303
162676813937511,Dan Forest,Committee to Elect Dan Forest,83766
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",82187
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,77154
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,73481
115700478533045,Progress North Carolina Action,Progress NC Action,72366
925007000949719,ExxonMobil,Exxon Mobil Corporation,66341
335637374881,N.C. State Board of Elections,North Carolina State Board of Elections with Facebook Ad Credits,65427
109321697442806,NC League of Conservation Voters Foundation,NC League of Conservation Voters Foundation,64952
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,63523
289544064711784,Progress North Carolina,Progress North Carolina,61697
102271454896215,Black Men Vote,BLACK MEN VOTE,61537
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,59984
8934429638,Planned Parenthood Action,Planned Parenthood Votes,58439
2255535767896743,Mark Robinson for N.C.,Mark Robinson for NC,56547
50614167032,Spectrum News 1 North Carolina,Spectrum News,55177
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",55114
190358700981079,NC League of Conservation Voters,North Carolina League of Conservation Voters,50969
2524348974282124,Piedmont Rising,Piedmont Rising,49647
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,49337
504161563089343,BlackPAC,Black PAC,47991
48049744053,Food Bank of Central & Eastern North Carolina,"FOOD BANK OF CENTRAL & EASTERN NORTH CAROLINA, INC.",47372
119875179042,Josh Stein,Josh Stein for Attorney General,46882
110029657470938,American Advancement,"American Advancement, Inc.",46671
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,46431
112254017245488,Citizens for a Better NC Senate,Citizens for a Better NC Senate,43539
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,41477
156474368333576,Secure Democracy,Secure Democracy,40670
700806360047982,CFG Action,Club for Growth Action,39913
1556932204325823,ProgressPop,ProgressPop,39704
24413227922,Kamala Harris,BIDEN VICTORY FUND,39519
101525041616176,Power the Polls,Power The Polls,38163
100699775058659,Education Now NC,Education Now,36152
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,35979
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,35709
