Page ID,Page Name,Disclaimer,Amount Spent (USD)
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,495634
108824017345866,Facebook,"Facebook, Inc.",306394
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",288320
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,223573
7860876103,Joe Biden,BIDEN VICTORY FUND,217062
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,152150
40912053758,Ohio Republican Party,Ohio Republican Party,136013
156968474833352,Stop Republicans,Stop Republicans,134579
20531316728,Facebook App,"Facebook, Inc.",133073
109131637582529,Trump for Ohio,"DONALD J. TRUMP FOR PRESIDENT, INC.",129526
367152833370567,Instagram,"Facebook, Inc.",125905
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,97792
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,94435
925007000949719,ExxonMobil,Exxon Mobil Corporation,73261
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,71605
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,71222
468042980679823,Ohioans for Judicial Integrity,"Ohioans for Judicial Integrity, Inc.",70087
602828763544800,Kate For Congress,KATE FOR CONGRESS,55487
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",53057
43287633515,Alliance for Climate Education,Alliance for Climate Education,47274
105756057589080,The Lincoln Project,The Lincoln Project,44049
24413227922,Kamala Harris,BIDEN VICTORY FUND,41878
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,40949
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,40560
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,38560
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,38036
20787991568,Senate Democrats,DSCC,34888
105908984600679,Shady Steve Chabot,DCCC,32468
106245384043438,Tims For Congress,FRIENDS OF DESIREE TIMS,32329
769672130075351,"Red, Wine, & Blue",Red Wine and Blue,32233
101464921262312,Alaina for Congress 2020,Alaina Shearer for Congress,31727
228754857151053,House Majority PAC,House Majority PAC,30722
987747024633892,Clean Columbus,Clean Columbus,29874
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,28697
524552160894543,Ohio Organizing Collaborative,Ohio Organizing Collaborative,28216
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,27678
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,25781
100591464867125,Port PAC,PROMOTING OUR REPUBLICAN TEAM PAC,23930
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,23832
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,23636
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,23586
1600352356914768,PushBlack,PushBlack,23387
49618959325,Jennifer Brunner,Jennifer Brunner Committee,21643
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,21639
7860876103,Joe Biden,BIDEN FOR PRESIDENT,20339
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",20225
222778077862868,Crime Survivors for Safety and Justice,Alliance for Safety and Justice,19781
108784447596352,Coalition to Restore Public Trust,Coalition to Restore Public Trust,19316
6500552187,Hulu,"HULU, LLC",19092
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,18661
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,18225
260754507296508,The Voter Participation Center,Voter Participation Center,18173
101278694809805,Meme2020,Meme2020,18010
202626512363,U.S. Census Bureau,U.S. Census Bureau,17831
877489392359717,For Our Future Ohio,FOR OUR FUTURE,17496
110998614083873,Citizens for a Strong Ohio Supreme Court,the Ohio REALTORS Political Advocacy Fund (www.orpaf.org) and not authorized by any candidate or candidate committee,17318
80892038525,Ohio Democratic Party,OHIO DEMOCRATIC PARTY,17203
104856814505092,The Kids Guide,The Kids Guide,17130
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,16550
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,16272
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",15353
475456956305422,All Voting Is Local,The Leadership Conference on Civil and Human Rights,15011
280034132055819,WhatsApp,WhatsApp Inc.,14810
127225910653607,PragerU,PragerU,14723
327837911149503,2A4Life,2A4LIFE LLC,14610
2352630938293825,Mytacticalpromos,Entremax,14461
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,14459
322732908805,Ohio Citizen Action,OHIO CITIZEN ACTION,14131
100415551788271,"Voting by mail is safe, secure, and convenient",For Our Future Education Fund,14099
296207827414521,NRCC IE,NRCC,14041
538649879867825,Red Table Talk,"Facebook, Inc.",13876
153830875265,Hamilton County Republican Party,Hamilton County Republican Party,13796
356639478437912,Spectrum News 1 Ohio,Spectrum News,13526
110018833813683,Flip the Senate,SMP,13393
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,13334
103075334816156,UFCW Votes,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,13253
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,13052
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,13008
110991700259515,Andy Black for Commissioner,Friends for Andy Black,12979
731314706965135,Matt Dolan,Friends of Matt Dolan,12940
328853823844484,Balance of Power,Balance of Power,12860
105805157564502,Tom Jackson OH,Friends of Tom Jackson,12589
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,12382
402993999729674,Judge John Williams,Friends of John Williams,12290
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,12069
103983379801,Texas Democratic Party,SUPER STATES 2020,12009
110762610521896,More Than A Vote,"More Than A Vote, Inc",11965
102209278869,Greater Cincinnati Counts,City of Cincinnati,11361
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,11175
269010516527498,Christina Hagan,Hagan for Congress,11053
51405613519,Focus on the Family,Focus on the Family,10530
320437294638279,Campus Vote Project,FAIR ELECTIONS CENTER,10485
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,10375
109480130700478,All In For Ohio,Innovation Ohio Education Fund,10246
18982436812,ACLU,American Civil Liberties Union,10168
9002965673,Freeform,Freeform,10064
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,10055
1606780826273282,The Committee to Unleash Prosperity,Committee to Unleash Prosperity Inc.,10000
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,9674
114710126648118,Republican Dogs,Republican Dogs,9647
45002877992,FOX,FOX Broadcasting,9518
602714436529710,End Citizens United,END CITIZENS UNITED,9432
8501031021,VoteVets.org,VOTEVETS,9342
106042117535065,Bruce Hoffbauer for Sheriff,Committee to Elect Bruce Hoffbauer,9194
1900853040223913,Count All Kids,Partnership for America's Children with Facebook Ad Credits,9066
522923054735947,Troy Balderson for Congress,BALDERSON FOR CONGRESS,9040
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,9020
100137754724934,Trump 2020 Supporters,Proud Right Winger,8997
1899110980328809,Betsy Rader for Ohio,Friends of Betsy Rader,8903
107210084216238,Humanity Forward,Humanity Forward,8894
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,8802
9465008123,Amazon.com,These ads ran without a disclaimer,8778
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,8737
105577974544303,The USA Needs More Patriots,AmeriPolling,8736
214472235246447,American Hospital Association,AMERICAN HOSPITAL ASSOCIATION,8562
131018418169,Ohio Oil and Gas Energy Education Program,Ohio Oil and Gas Energy Education Program,8508
153167611414243,Ohio House Democrats,The Ohio House Democratic Caucus,8438
314499212242,Pfizer,Pfizer Inc.,8435
9324910069,NRSC,NRSC,8410
428821014132730,Katie Porter,Katie Porter For Congress,8409
158791100909689,Concerned Veterans for America,Concerned Veterans for America,8386
100127078452133,YouSnug,Influence SG LLC,8266
102730721523089,Own Your Choice,Influence SG LLC,8244
432898240078029,Oil and Gas Safety Supply,Oil & Gas Safety Supply,8088
200650357207240,I Love My Freedom,I Love My Freedom,8069
100753978079700,Shay Hawkins for Ohio,Friends of Shay Hawkins,7870
