Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,2069678
7860876103,Joe Biden,BIDEN FOR PRESIDENT,1044241
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,792970
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",765557
114625730266879,Republican Voters Against Trump,Defending Democracy Together,761372
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,760276
114971076538782,The Keystone,"Courier Newsroom, Inc.",423413
190094106128575,Vote By Mail 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,373496
102940748211235,Trump for Pennsylvania,"DONALD J. TRUMP FOR PRESIDENT, INC.",299102
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,297752
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,297519
202851657003895,We Are PA,The Story of Us,250843
108824017345866,Facebook,"Facebook, Inc.",233638
109031110946474,Pennsylvania Votes Trump Out,TECH FOR CAMPAIGNS,226607
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,205626
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,186888
156968474833352,Stop Republicans,Stop Republicans,183268
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,173044
105756057589080,The Lincoln Project,The Lincoln Project,171135
108103774350322,We the People 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,166918
156994304362574,American Bridge 21st Century,AB PAC,165176
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",156244
367152833370567,Instagram,"Facebook, Inc.",151613
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,129165
20531316728,Facebook App,"Facebook, Inc.",125365
470241276500901,Women Vote,WOMEN VOTE!,118578
332716170522025,America First Action,America First Action,118321
1204754733024419,People's Power Grab,ACRONYM,116015
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",113416
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,108876
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,104871
101525041616176,Power the Polls,Power The Polls,103720
103026384819654,How to Vote,ACRONYM,97172
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,90779
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,90716
350316025478383,When We All Vote,When We All Vote,88334
108162940871582,Commonwealth Leaders Fund,Commonwealth Leaders Fund,77578
925007000949719,ExxonMobil,Exxon Mobil Corporation,71977
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,68942
152561628240904,SEIU PA State Council,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),67222
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,67136
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,63262
1552675688372326,Color Of Change PAC,Priorities USA Action and Color of Change PAC. (202) 455-8428. (646) 395-3711. Not authorized by any candidate or candidate's committee.,62446
24413227922,Kamala Harris,BIDEN VICTORY FUND,56891
