Page ID,Page Name,Disclaimer,Amount Spent (USD)
110608137424774,Hispanic Federation Puerto Rico,Hispanic Federation With Facebook Ad Credits,20214
431099560800970,Front Page Live,"Front Page Live, Inc.",13399
229990273742684,Comisión Estatal de Elecciones de Puerto Rico,Comisión Estatal de Elecciones de Puerto Rico,8935
1601417063208019,Harness,Harness Community,8333
110608137424774,Hispanic Federation Puerto Rico,HISPANIC FEDERATION INC,6891
294963660620753,Pedro R. Pierluisi,"Comité Pedro Pierluisi, Inc.",6748
839110726214614,Realtors,NATIONAL ASSOCIATION OF REALTORS,6629
1495749180729697,Jenniffer González 2020,TODOS CON JENNIFFER INC.  DBA JENNIFFER FOR CONGRESS,5944
6905502638,Aníbal Acevedo Vilá,ANIBAL COMISIONADO 2020,5822
104516389641870,Juan Dalmau Ramírez,Juan Dalmau Ramírez,5357
244752722204442,NALEO Educational Fund,NALEO Educational Fund with Facebook Ad Credits,3758
178817975673,Popular,Popular,3607
142008095814245,William Miranda Torres,Comité PPD Caguas,2043
605037386536651,Alianza for Progress,Alianza for Progress,1414
621144291234625,Miguel Romero,Comité Miguel Romero,1326
1572998166166458,Joanne Rodríguez Veve,Comité Amigos de Joanne Rodríguez Veve,1187
291819009067,AARP Puerto Rico,AARP,1100
256434914392912,Rossana López León,Comite Amigos Rossana López León,976
213773888766404,Random Logic Games,These ads ran without a disclaimer,842
182079698493370,Portside,Portside,773
883447712002657,Elba Beatriz Rivera Alcaldesa de Guaynabo 2020,Beatriz Rivera Estrada,764
397447437669420,Miguel "Ricky" Méndez,Miguel "Ricky" Méndez,756
335265877069930,Kitten Match,These ads ran without a disclaimer,709
17475614410,Hispanic Federation,Paid for by Hispanic Federation with Facebook Ad Credits,705
538713833208581,Charlie Delgado Altieri,Comité Amigos Carlos Delgado Altieri,668
227574710589774,Rafael June Rivera,Rafael June Rivera,668
101299338375586,ERA ELA,These ads ran without a disclaimer,662
1418111495154156,"Jaime Alverio Ramos, Alcalde 2020",Jaime Alverio Ramos,658
205621160218305,Dr. Luis M. Irizarry Pabón 2020,Dr. Luis M. Irizarry Pabón 2020,647
2078647579047586,Project Pulso,Pulso,580
1455086804731751,Waldemar Alcalde,Gabriel García Rodríguez,505
102390744580008,La Premisa Inarticulada,These ads ran without a disclaimer,475
1224295357599212,Miguel Laureano Senador Distrito de Humacao,Comité Miguel Laureano,455
751178724986023,Mayita - Alcaldesa,Comité Amigos Mayita,438
101611644718249,Edwin Marrero Santiago,Gabriel García Rodríguez,427
109124080585428,José Bernardo Márquez,Comité José Bernardo Márquez,417
111076610717689,La Victoria de Todos y Todas,La Victoria es de Todos y Todas,389
811190995571328,Víctor Torres Representante Distrito23,Victor Torres Representante,373
2176824115932176,Luis Daniel Colon Alcalde Barranquitas 2020,COMITE AMIGOS LUIS DANIEL COLON,361
2677115765647588,Yanitsia Irizarry Méndez,Comité Amigos Yanitsia Irizarry,318
365775453949582,Julio Roldan,Comité Amigos Julio Roldán,312
619477611863635,U.S. Citizens For Equal Protection,"U.S. Citizens For Equal Protection, Inc.",294
2195247860693983,Luis Rodríguez,Luis A Rodriguez Diaz,290
1547457055530916,Comité  Pip Cayey Oficial,Comité Pip Cayey Oficial,280
1698421173717324,Seguimos con Ramoncito,Comité Amigos Ramón "Ramoncito" Hernández Torres,261
202626512363,U.S. Census Bureau,These ads ran without a disclaimer,247
102964461333743,Rivera Lassén Senadora por Acumulación,Comité Ana Irma Rivera Lassén,245
103275557897675,VitalCure Purificador Natural,These ads ran without a disclaimer,221
165783987182587,Suprex PR,These ads ran without a disclaimer,216
94722630161,LULAC,Paid For By LULAC with Facebook Ad Credits,212
102381541590757,Sobran las razones para votar NO,VAMOS Concertación Ciudadana,212
956150571077941,SimCity BuildIt,These ads ran without a disclaimer,201
1475937119380452,Roberto López,Roberto Jesus Lopez Roman,198
630598004063606,Marcos Fabian Gonzalez,Comite de Amigos Marcos Fabian Gonzalez Barreto,192
203463950500659,Christian Cortés,Comité Amigos Christian Cortés 2020,192
108955297532623,Dr. Rosario Alcalde Juana Diaz 2020,MadMono Films & Media LLC,190
197828327405311,Placas Solares en Puerto Rico,These ads ran without a disclaimer,190
2211885748952324,Ángel "Tito" Fourquet,Comité Ángel Tito Fourquet,181
113726120377778,Luis Yordan Frau,Comite Luis Yordan Frau,180
292680997602545,Manuel Calderón Cerame,Comité Amigos Manuel Calderón Cerame,156
17475614410,Hispanic Federation,Hispanic Federation,138
778856239166371,Proyecto Dignidad,Proyecto Dignidad,132
109447310669622,Inminente Pandemia en Puerto Rico,Manuel Ramon Prats Vega,131
1642011159213647,Woolite,These ads ran without a disclaimer,125
1038925092839731,Jorge E. Estévez Martínez - Alcalde 2020,Alexis Emanuel Class Ruiz,110
107065817522734,Ángel Omar Lafuente Amaro- Alcalde 2020 Maunabo,Fatima J Cedano,104
525148901218340,José Aníbal "Joey" Meléndez,Comité Amigos de José Aníbal "Joey" Meléndez,103
284626114884834,Denis Márquez,Denis Marquez,102
834806283563802,Domingo Torres Representante Distrito 25,Domingo J. Torres Garcia,≤100
149451418987667,Boricuas Unidos en la Diáspora - BUDPR,Boricuas Unidos en la Diáspora,≤100
285816758516544,Kabir Solares "El Bombero" Alcalde Añasco 2020,Kabir Solares,≤100
173199999989897,Yamilet González - Representante Distrito 21,Yamilet Gonzalez Alicea,≤100
114330066884853,Lcda. Elaine M. Arrufat Berastaín,Elaine Marie Arrufat Berastaín,≤100
985548918293727,Orlando Aponte 2020.,Orlando Aponte 2020,≤100
183276001703492,Maga,These ads ran without a disclaimer,≤100
1455086804731751,Waldemar Alcalde,These ads ran without a disclaimer,≤100
767154603472144,Women's Medical Pavilion,Women's Medical Pavilion,≤100
130557843688683,Manuel O. Claudio,Luis Gonzalez,≤100
1783529228545895,La Victoria es de  Manuel Natal,La victoria es de todos,≤100
2024622797818776,Busch Light PR,These ads ran without a disclaimer,≤100
136710773025912,Salus University,Caren Jennifer Cremen,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
107224394385585,Raul Mari Pesquera,José A. Acevedo Rodríguez,≤100
1546703998899645,Brian J. Casais García,Brian James Casais Garcia,≤100
482955039137711,José Pepe Ortiz Representante Precinto 3 de San Juan,Jose Pepe Ortiz 2020,≤100
105117291224259,La Familia es un Hermoso Regalo de Dios,These ads ran without a disclaimer,≤100
1692524767651072,Mariana Nogales Molinelli 2020,Mariana Nogales Molinelli,≤100
292884947988366,Farm in the City PR,These ads ran without a disclaimer,≤100
107729727448361,Awilda Iglesias Muñoz,Comité Amigos Awilda Iglesias Muñoz,≤100
106359834213174,David Rivera Quebradillas 2020,David E. Rivera,≤100
107744334031257,Christian Santiago 2020,Comité Christian Santiago Orsini,≤100
2310488009211056,Poder Latinx,Poder Latinx,≤100
182616238486183,Federal Student Aid,"Federal Student Aid, an office of the U.S. Department of Education",≤100
130557843688683,Manuel O. Claudio,Comité Manuel O. Claudio Rodríguez,≤100
109907037209096,Keyliz Mendez Representante Acumulación 2020,Keyliz Joan Mendez Torres,≤100
110280253735683,Alexandria Ocasio-Cortez Fan Club,Imran M Jemal,≤100
105000141113970,Maikel pa'l Senado - Distrito Ponce,Comité Maikel A Gonzalez Alvarado 2020 Inc,≤100
101831304856606,La Mesa Boricua de Florida,Maruxa D Cardenas,≤100
100218228480471,Juana Díaz es tu Destino,Roberto Rivera,≤100
1428774274001086,Javier Carrasquillo,Delvis Pagan Clavijo,≤100
107420964130431,Eva Prados Representante Precinto 3 de San Juan,Comité Eva Prados Rodríguez,≤100
398870840303447,Escritoestá,These ads ran without a disclaimer,≤100
107472404070021,Yamira Colón Rosa,Yamira Colon Rosa,≤100
448954165595930,Puerto Rico Science Policy Action Network,Ciencia Puerto Rico,≤100
194381443933922,María de Lourdes Santiago,María de Lourdes Senadora,≤100
339328419446455,Elecciones 2020,www.primarias2020.com,≤100
502683733210323,Minority Cannabis Business Association,Jason Ortiz Ortiz,≤100
2100072300291099,Edgardo Feliciano Representante Distrito 12,Edgardo Feliciano Sanchez,≤100
115543123559241,Alianza Energía Renovable Ahora,Adriana Cristina Berríos Pérez,≤100
344808252571016,Joel Franqui Atiles,Amigos Joel Franqui Atiles,≤100
897922266922211,Félix Delgado Montalvo,Comité Amigos Félix "El Cano" Delgado,≤100
686036651854091,Joel Rafael Chevres Santiago,Joel Rafael Chevres Santiago,≤100
114308365327046,Travis Scott,These ads ran without a disclaimer,≤100
