Page ID,Page Name,Disclaimer,Amount Spent (USD)
108824017345866,Facebook,"Facebook, Inc.",28989
7860876103,Joe Biden,BIDEN VICTORY FUND,27732
156968474833352,Stop Republicans,Stop Republicans,20778
367152833370567,Instagram,"Facebook, Inc.",16730
1411485062416786,Jack Reed,THE REED COMMITTEE,14894
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,14364
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,14282
20531316728,Facebook App,"Facebook, Inc.",11986
624703557992005,Rhode Island Census 2020,Rhode Island Complete Count Committee,11324
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,11189
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,10008
24413227922,Kamala Harris,BIDEN VICTORY FUND,6380
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,5938
144842292223105,Rhode Island Department of Health,Rhode Island Department Health,5896
925007000949719,ExxonMobil,Exxon Mobil Corporation,5889
20787991568,Senate Democrats,DSCC,5774
280034132055819,WhatsApp,WhatsApp Inc.,5444
255477615153376,Rhode Island Board of Elections,Rhode Island Board of Elections with Facebook Ad Credits,4486
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,4389
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",4150
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,3459
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,3327
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,3211
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,3038
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,2995
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,2780
110018833813683,Flip the Senate,SMP,2677
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,2599
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,2400
103983379801,Texas Democratic Party,SUPER STATES 2020,2390
202626512363,U.S. Census Bureau,U.S. Census Bureau,2226
105756057589080,The Lincoln Project,The Lincoln Project,2160
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,1922
110424737363776,Dylan Conley for Congress,DYLAN CONLEY FOR CONGRESS,1877
107904733908466,Securing Our Future,Securing Our Future,1865
6500552187,Hulu,"HULU, LLC",1728
124939484209078,Langevin for Congress,LANGEVIN FOR CONGRESS,1687
228754857151053,House Majority PAC,House Majority PAC,1544
1675621499388517,RI Department of State,RI Department of State's Office,1474
602714436529710,End Citizens United,END CITIZENS UNITED,1448
428821014132730,Katie Porter,Katie Porter For Congress,1308
538649879867825,Red Table Talk,"Facebook, Inc.",1273
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,1273
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,1258
328853823844484,Balance of Power,Balance of Power,1243
211018202242419,Rhode Island Health Care Association,RHODE ISLAND HEALTH CARE ASSOCIATION INC,1233
605168822998856,314 Action,314 ACTION FUND,1217
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,1199
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,1172
