Page ID,Page Name,Disclaimer,Amount Spent (USD)
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,834273
108824017345866,Facebook,"Facebook, Inc.",123062
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,113366
106627181062791,South Carolina Signal,JAIME HARRISON FOR US SENATE,108964
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",59242
183424985463330,Joe Cunningham,JOE CUNNINGHAM FOR CONGRESS,57613
20531316728,Facebook App,"Facebook, Inc.",57531
7860876103,Joe Biden,BIDEN VICTORY FUND,52881
367152833370567,Instagram,"Facebook, Inc.",50828
1486392121670034,Security is Strength PAC,SECURITY IS STRENGTH PAC,48676
202626512363,U.S. Census Bureau,U.S. Census Bureau,48454
925007000949719,ExxonMobil,Exxon Mobil Corporation,42601
133666160060982,Senate Majority PAC,SMP,41693
156968474833352,Stop Republicans,Stop Republicans,39953
234621494446654,We Can’t Trust Nancy Mace,DCCC,38176
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,37183
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,34877
628891490457484,Nancy Mace,Nancy Mace for Congress,30736
100684538076879,SC Counts 2020,United Way Association of SC with Facebook Ad Credits,28308
228754857151053,House Majority PAC,House Majority PAC,27761
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,25306
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,24600
113668017062690,Citizens For Free Enterprise,Citizens for Free Enterprise,24388
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,24176
120564622830569,South Carolina's Conservative Future,South Carolina's Conservative Future,20103
310332672343520,South Carolina Votes,South Carolina Election Commission with Facebook Ad Credits,17036
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,16138
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,15046
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,12803
123267457850239,SC DHEC,South Carolina Department of Health & Environmental Control,12523
24413227922,Kamala Harris,BIDEN VICTORY FUND,12029
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,10835
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,10664
341036202607871,Americans for Prosperity - South Carolina,AMERICANS FOR PROSPERITY,10089
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,9666
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,9336
110762610521896,More Than A Vote,"More Than A Vote, Inc",9239
280034132055819,WhatsApp,WhatsApp Inc.,9220
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,8841
296207827414521,NRCC IE,NRCC,8785
249455845761285,Lindsey Must Go,LMG PAC,8710
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,8704
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,8508
104856814505092,The Kids Guide,The Kids Guide,8283
6500552187,Hulu,"HULU, LLC",8194
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,7997
102281264932254,The Southern Strategy,Southern Strategy,7585
127225910653607,PragerU,PragerU,7478
58008726389,NC Child: the Voice for North Carolina's Children,NC CHILD,7365
538649879867825,Red Table Talk,"Facebook, Inc.",7067
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,6984
327837911149503,2A4Life,2A4LIFE LLC,6965
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,6764
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,6446
51405613519,Focus on the Family,Focus on the Family,6362
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,6112
19554217292,American Heart Association: You're the Cure,American Heart Association,6092
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,5991
2292262990997250,American Freedom and Opportunity PAC,AMERICAN FREEDOM AND OPPORTUNITY PAC,5963
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,5596
2352630938293825,Mytacticalpromos,Entremax,5592
108445584282272,Opportunity Matters Fund,Opportunity Matters Fund,5202
358665897497015,Mandy Powers Norrell for House District 44,MANDY DEANN POWERS-NORRELL,5114
103798138092116,All In For South Carolina,DEMOCRATIC PARTY OF SOUTH CAROLINA,5013
105756057589080,The Lincoln Project,The Lincoln Project,5002
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,4889
9324910069,NRSC,NRSC,4824
110018833813683,Flip the Senate,SMP,4783
168051710543266,Lacy Johnson,Lacy Johnson for Congress,4752
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,4644
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,4614
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,4484
1428127550756141,York County GOP - SC,York County GOP,4286
1204754733024419,People's Power Grab,ACRONYM,4229
102209421597507,Nancy Mace Harms,DCCC,4094
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",4082
