Page ID,Page Name,Disclaimer,Amount Spent (USD)
108824017345866,Facebook,"Facebook, Inc.",158099
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,152019
20531316728,Facebook App,"Facebook, Inc.",84411
7860876103,Joe Biden,BIDEN VICTORY FUND,78411
367152833370567,Instagram,"Facebook, Inc.",73749
156968474833352,Stop Republicans,Stop Republicans,61738
925007000949719,ExxonMobil,Exxon Mobil Corporation,54575
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,53104
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,43190
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",41242
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,33699
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,31508
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,31159
403071946500795,Tennessee Secretary of State,TN Secretary of State with Facebook Ad Credits,26241
24413227922,Kamala Harris,BIDEN VICTORY FUND,17946
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,16356
20787991568,Senate Democrats,DSCC,15078
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,13384
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,13301
280034132055819,WhatsApp,WhatsApp Inc.,12600
104856814505092,The Kids Guide,The Kids Guide,11671
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,11548
6500552187,Hulu,"HULU, LLC",11324
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,11170
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,11123
202626512363,U.S. Census Bureau,U.S. Census Bureau,11114
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,10956
2042902612701467,We Are Memphis,We Are Memphis,10948
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,10857
87764154463,Planned Parenthood of Tennessee and North Mississippi,Planned Parenthood of Tennessee and North Mississippi,10632
127225910653607,PragerU,PragerU,10174
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,9564
327837911149503,2A4Life,2A4LIFE LLC,9470
2352630938293825,Mytacticalpromos,Entremax,9301
51405613519,Focus on the Family,Focus on the Family,9141
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,8877
538649879867825,Red Table Talk,"Facebook, Inc.",8659
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,8071
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,7848
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,7839
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,7285
9324910069,NRSC,NRSC,6692
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,6597
314499212242,Pfizer,Pfizer Inc.,6485
1374134752633656,New Health Plans,Shop Insurance Plans,6451
326974419055,Xfinity,COMCAST CORPORATION,6270
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,6173
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,6169
105756057589080,The Lincoln Project,The Lincoln Project,5703
110018833813683,Flip the Senate,SMP,5679
9002965673,Freeform,Freeform,5617
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,5599
101144691549454,Elizabeth for TN,Friends of Elizabeth Madeira,5577
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,5397
168051710543266,Lacy Johnson,Lacy Johnson for Congress,5396
45002877992,FOX,FOX Broadcasting,5238
92925746942,Judicial Watch,Judicial Watch,5197
9465008123,Amazon.com,These ads ran without a disclaimer,5157
103983379801,Texas Democratic Party,SUPER STATES 2020,5143
717115395103069,PrintedKicks,Printed Kicks,5118
1449461518652183,4Patriots,4Patriots LLC,5063
158791100909689,Concerned Veterans for America,Concerned Veterans for America,5062
20787074239,WPLN News - Nashville Public Radio,NASHVILLE PUBLIC RADIO,5009
105577974544303,The USA Needs More Patriots,AmeriPolling,4914
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,4843
100333170022077,ACLU of Tennessee,AMERICAN CIVIL LIBERTIES UNION,4713
228754857151053,House Majority PAC,House Majority PAC,4512
328853823844484,Balance of Power,Balance of Power,4460
213792049451918,Stand For America,Stand For America Inc,4435
408250066356,Bill O'Reilly,"Bill Me, Inc.",4386
