Page ID,Page Name,Disclaimer,Amount Spent (USD)
158901474162793,Vote Utah,State of Utah - Office of the Lieutenant Governor,130150
200224630053159,Ben McAdams,FRIENDS OF BEN MCADAMS,74273
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,70240
108824017345866,Facebook,"Facebook, Inc.",63482
7860876103,Joe Biden,BIDEN VICTORY FUND,56125
108464460953715,2020 Priorities,DCCC,53580
367152833370567,Instagram,"Facebook, Inc.",44092
20531316728,Facebook App,"Facebook, Inc.",34200
156968474833352,Stop Republicans,Stop Republicans,29733
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,21378
925007000949719,ExxonMobil,Exxon Mobil Corporation,18931
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,15825
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",15343
305643856459460,Burgess Owens,Burgess 4 Utah,14820
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,14012
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,12947
1423200984590762,Jenny Wilson for Salt Lake County Mayor,Jenny Wilson for Salt Lake County Mayor,12048
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,11195
100866168200122,State of Utah Covid-19 Response,Utah Coronavirus Task Force,10565
24413227922,Kamala Harris,BIDEN VICTORY FUND,10126
228754857151053,House Majority PAC,House Majority PAC,9544
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,8535
104856814505092,The Kids Guide,The Kids Guide,8498
6204742571,Sierra Club,SIERRA CLUB,7658
622035304631062,Cox for Governor,Cox for Governor,7465
20787991568,Senate Democrats,DSCC,7361
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,7358
583715925012376,Mayor Trent Staggs,Staggs for Mayor,7103
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,6924
280034132055819,WhatsApp,WhatsApp Inc.,6901
327837911149503,2A4Life,2A4LIFE LLC,6430
127225910653607,PragerU,PragerU,6379
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,6171
109341590758237,Daniel Cottam for Governor,Cottam For Utah,5910
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,5754
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,5751
326974419055,Xfinity,COMCAST CORPORATION,5543
202626512363,U.S. Census Bureau,U.S. Census Bureau,5446
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5295
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,5002
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,4722
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,4698
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,4579
101786487987685,Planned Parenthood Association of Utah,Planned Parenthood Association of Utah,4487
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,4258
6500552187,Hulu,"HULU, LLC",4202
103983379801,Texas Democratic Party,SUPER STATES 2020,4106
2352630938293825,Mytacticalpromos,Entremax,3961
18982436812,ACLU,American Civil Liberties Union,3832
317967541958240,Slow the Flow,These ads ran without a disclaimer,3615
9002965673,Freeform,Freeform,3601
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,3545
45555240203,America First Credit Union,America First Credit Union,3443
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,3438
538649879867825,Red Table Talk,"Facebook, Inc.",3407
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3360
128979900459074,Utah Department of Workforce Services,Utah Department of Workforce Services,3323
110018833813683,Flip the Senate,SMP,3237
105756057589080,The Lincoln Project,The Lincoln Project,3217
45002877992,FOX,FOX Broadcasting,3164
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,3044
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,2846
237477017606,Club for Growth,Club for Growth,2842
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,2834
107703210834494,Chris Peterson for Utah Governor,Peterson for Utah,2804
1449461518652183,4Patriots,4Patriots LLC,2665
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,2662
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,2646
33713453361,Amazon Prime Video,Amazon Prime Video,2628
168051710543266,Lacy Johnson,Lacy Johnson for Congress,2578
203550842430,Mike Lee,FRIENDS OF MIKE LEE INC,2577
109982877529134,Defend American Democracy,Defend American Democracy,2447
2353537341582545,Proud Patriots,Proud Patriots,2205
9465008123,Amazon.com,These ads ran without a disclaimer,2133
244929708853349,Spotify,Spotify USA Inc.,2128
105577974544303,The USA Needs More Patriots,AmeriPolling,2128
717115395103069,PrintedKicks,Printed Kicks,2108
33713453361,Amazon Prime Video,These ads ran without a disclaimer,2084
1874561619458812,Elan Solar,These ads ran without a disclaimer,2064
51405613519,Focus on the Family,Focus on the Family,2064
9324910069,NRSC,NRSC,2039
277005566267077,Blueland,Blueland,1988
537534316395916,Students for Trump,Turning Point Action,1973
602714436529710,End Citizens United,END CITIZENS UNITED,1958
92925746942,Judicial Watch,Judicial Watch,1951
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,1947
328853823844484,Balance of Power,Balance of Power,1940
95181800661,Levi's,Levi's®,1928
1900853040223913,Count All Kids,Partnership for America's Children with Facebook Ad Credits,1926
100137754724934,Trump 2020 Supporters,Proud Right Winger,1918
203805062990264,Ben Shapiro,The Daily Wire,1889
203197030603239,8 Billion Trees,8 Billion Trees,1875
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",1837
106928861137262,Global Final Expense Assistance,Kohv8,1826
314499212242,Pfizer,Pfizer Inc.,1812
103932294697808,US Final Expense Assistance,Laperryrea Daniyell Hobbs,1758
107210084216238,Humanity Forward,Humanity Forward,1750
428821014132730,Katie Porter,Katie Porter For Congress,1709
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,1699
158791100909689,Concerned Veterans for America,Concerned Veterans for America,1579
109379100777665,Patriotism Isn't Dead,Patriot Polling,1578
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,1564
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,1563
2078647579047586,Project Pulso,Pulso,1557
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,1554
106478007640474,Terri Tapp Hrechkosy for Salt Lake County Council,Terri Tapp Hrechkosy for Salt Lake County Council,1551
108812917314369,Kael Weston,WESTON 2020,1549
213792049451918,Stand For America,Stand For America Inc,1513
5435784683,Greenpeace USA,"GREENPEACE, INC.",1496
243372132425060,ACLU Utah,ACLU OF UTAH FOUNDATON INC THE,1487
408250066356,Bill O'Reilly,"Bill Me, Inc.",1485
461204744067686,Family Protection Association,Family Protection Association,1476
605168822998856,314 Action,314 ACTION FUND,1473
130434487619538,Shireen Ghorbani,Shireen Ghorbani for Salt Lake County Council At-Large,1443
215199482635728,Alek Skarlatos,ALEK FOR OREGON,1433
114009933764548,The Patriot Club,RightWingGear,1391
104224114671958,Energy For Progress,The American Petroleum Institute,1373
345234251112,Judicial Crisis Network,Judicial Crisis Network,1357
184350204922184,Alliance for a Better Utah,Alliance for a Better Utah,1323
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",1321
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,1319
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",1317
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,1316
1109093812491437,Blaze Media,Blaze Media LLC,1312
242077219243971,The Presidential Coalition,The Presidential Coalition,1290
104614641200137,MeidasTouch,MEIDASTOUCH,1280
1759098384325233,Suzanne Harrison,Suzanne Harrison for House,1278
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",1270
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,1264
108109934203874,Insta Shop Boutique,Insta Shop Boutique,1255
186975451322263,Salt Lake County Government,Salt Lake County,1250
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",1226
57403415485,Showtime Networks,Showtime Networks,1223
114710126648118,Republican Dogs,Republican Dogs,1218
1374134752633656,New Health Plans,Shop Insurance Plans,1196
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",1188
200650357207240,I Love My Freedom,I Love My Freedom,1186
338028696036,Yahoo News,Verizon Media Inc,1182
443329669123990,USAFacts,USAFacts Institute,1176
106928861137262,Global Final Expense Assistance,Laperryrea Daniyell Hobbs,1142
85452072376,Newsmax,Newsmax Media,1138
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,1135
305832706292882,American Gun Association,GunAssociation.org,1134
113978176821776,"Catherine Voutaz, 2020",Catherine Voutaz for Office,1127
143528022388140,The Allstate Foundation,The Allstate Foundation,1120
596556607135301,The Earthling Co.,The Earthling Co.,1117
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1100
8325302025,Friends of the Earth U.S.,Friends of the Earth,1098
278478315828826,CNN Original Series,"Turner Broadcasting Sales, Inc",1098
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,1090
46093654473,National Republican Congressional Committee,NRCC,1085
393932827634250,Dissent Pins,Common Practice,1072
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,1067
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,1021
106224464107240,Jo Jorgensen,Jo Jorgensen for President,1015
117410271826,American Public University,These ads ran without a disclaimer,1003
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",999
537709253344323,The News Break - News Break,These ads ran without a disclaimer,990
111428049989,Cal Cunningham,CAL FOR NC,974
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,966
934438026690635,YouGov,YOUGOV AMERICA INC.,964
69983322463,Ted Cruz,TED CRUZ FOR SENATE,961
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,954
1883837055193241,Shield Republic,Shield Republic,943
95356211637,Ben Ferguson,Ben Ferguson show,933
1784702815145771,Rep. Mike Winder,Friends of Mike Winder,929
130467958471,Jason Lewis,Jason Lewis for Senate,929
560140464159364,Stand for the 2nd Amendment,SFT2 Tactical Supply,922
105269984593079,The Way I See It,Focus Features,921
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,898
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,893
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,887
106323360959211,Patriots Republic,Matthew James Stine,877
355316521236121,John Cornyn,TEXANS FOR SENATOR JOHN CORNYN INC.,872
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,866
132492254050920,American AF,AAF Nation,858
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,854
104625427859459,Thomas McNeill,McNeill for Utah,841
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,838
106107897637411,Elect Blake Moore,Blake Moore for Congress,837
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",836
337744583030802,Clare Collard,Committee to Elect Clare Collard,836
118502801658228,Young Kim,Young Kim for Congress,828
104745474214057,HRA - OTC Birth Control,Corey Francis Mc Govern,823
1424858414264105,Facebook Watch,"Facebook, Inc.",821
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,819
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",808
892673067526965,Project War Path,Project War Path,804
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,801
102208351425317,Vote for Deborah - SLCo District 2,Deborah Gatrell County Council Candidate,799
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",798
530604487365010,Old Glory Flagpole Kits,Service First,796
167586229923327,World Food Program USA,World Food Program USA,794
7263476274,Mercy Corps,Mercy Corps,794
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,781
105577974544303,The USA Needs More Patriots,Anthony Alexander Morales,779
106973694007283,Keep America Great Again,KagaGear.com,778
