Page ID,Page Name,Disclaimer,Amount Spent (USD)
641555539328837,Senator Janelle K. Sarauw,The Committee to Elect Janelle K. Sarauw,2202
365174366842918,ProSolar Caribbean,Prosolar Caribbean,1145
839110726214614,Realtors,NATIONAL ASSOCIATION OF REALTORS,160
1114601355280173,Senator Marvin A. Blyden,Marvin Blyden,≤100
423796551418865,Friends and Supporters for Genevieve Whitaker,Friends & Supporters for Genevieve Whitaker,≤100
114093400324717,Samuel Carrion,Friends of Samuel Carrión,≤100
506394086424008,Emmanuella Perez For Board of Education 2020,Makiel Amiri Cepeda,≤100
335265877069930,Kitten Match,These ads ran without a disclaimer,≤100
106940581051114,Kyza A. Callwood for the Board of Education,Kyza Asward Callwood,≤100
641555539328837,Senator Janelle K. Sarauw,Senator Janelle K. Sarauw,≤100
362717827142514,Plaskett for Congress,Kyza Asward Callwood,≤100
956150571077941,SimCity BuildIt,These ads ran without a disclaimer,≤100
110608137424774,Hispanic Federation Puerto Rico,Hispanic Federation With Facebook Ad Credits,≤100
1623029207910755,NaturalAnnie essentials,These ads ran without a disclaimer,≤100
113238287134755,"American Target Advertising, Inc.",FEDUP INC,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
