Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,56970
108824017345866,Facebook,"Facebook, Inc.",31224
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,28993
367152833370567,Instagram,"Facebook, Inc.",23936
24413227922,Kamala Harris,BIDEN VICTORY FUND,14072
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,14028
20787991568,Senate Democrats,DSCC,13569
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,11306
110018833813683,Flip the Senate,SMP,10056
20531316728,Facebook App,"Facebook, Inc.",9251
202626512363,U.S. Census Bureau,U.S. Census Bureau,7455
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,7233
108774614054683,American Edge Project,American Edge,7224
280034132055819,WhatsApp,WhatsApp Inc.,6823
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,6328
104224114671958,Energy For Progress,The American Petroleum Institute,6180
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,6177
103983379801,Texas Democratic Party,SUPER STATES 2020,5598
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,5532
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,5398
925007000949719,ExxonMobil,Exxon Mobil Corporation,5286
105756057589080,The Lincoln Project,The Lincoln Project,5278
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5252
1715003611897791,Ed Lazere for DC Council At-Large,Ed Lazere for DC Council At-Large,4635
605168822998856,314 Action,314 ACTION FUND,4441
111428049989,Cal Cunningham,CAL FOR NC,4430
1591120767618016,Marcus Goodwin,Marcus Goodwin For DC 2020,4372
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,4270
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,4108
423937711064194,Future45,Future45. Not authorized by any candidate or candidate’s committee,3720
156968474833352,Stop Republicans,Stop Republicans,3661
109231370525017,U.S. Chamber Action,The U.S. Chamber of Commerce,3601
602714436529710,End Citizens United,END CITIZENS UNITED,3516
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,3405
5633824547,FreedomWorks,"FREEDOMWORKS, INC.",3394
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,2942
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,2834
7833534974,Florida Democratic Party,Florida Democratic Party,2710
228754857151053,House Majority PAC,House Majority PAC,2703
1050347175086597,Randy Downs,Randy Downs for Ward 2,2608
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,2555
1439500142938133,Clean Water Fund,Clean Water Fund,2540
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,2333
428821014132730,Katie Porter,Katie Porter For Congress,2274
126163087403162,International Franchise Association,International Franchise Association,2228
314499212242,Pfizer,Pfizer Inc.,2203
538649879867825,Red Table Talk,"Facebook, Inc.",2082
328853823844484,Balance of Power,Balance of Power,2008
101511978100865,Will Merrifield for DC Council At-Large,Will Merrifield for DC Council,1997
33713453361,Amazon Prime Video,Amazon Prime Video,1995
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",1878
354716314909000,Swing Left,Swing Left,1871
6500552187,Hulu,"HULU, LLC",1859
42002969352,Center on Budget and Policy Priorities,Center on Budget and Policy Priorities,1750
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,1574
95181800661,Levi's,Levi's®,1562
9002965673,Freeform,Freeform,1553
1591120767618016,Marcus Goodwin,Marcus Goodwin,1500
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,1484
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",1458
107210084216238,Humanity Forward,Humanity Forward,1449
244929708853349,Spotify,Spotify USA Inc.,1420
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,1368
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,1304
429812024048177,Doug Jones for Senate,DOUG JONES FOR SENATE COMMITTEE,1290
103402638590,United Planning Organization,UNITED PLANNING ORGANIZATION,1287
8501031021,VoteVets.org,VOTEVETS,1282
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,1278
102177667858523,Protect Emergency Care,American College of Emergency Physicians,1260
184539381887873,45Committee,45Committee.,1240
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA-NAJJAR FOR CONGRESS,1240
2081864865362439,Mike Espy,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,1236
59062845587,Charles Schwab,These ads ran without a disclaimer,1227
102336501236330,Alliance for an Affordable DC,The American Beverage Association. Brought to you by the Alliance for an Affordable DC.,1222
662962894077729,The Well News,The Well News,1212
1235234926651814,51 for 51,51 for 51,1203
242077219243971,The Presidential Coalition,The Presidential Coalition,1186
118714808054,Mi Familia Vota,Paid For By Mi Familia Vota with Facebook Ad Credits,1161
23875187730,Feeding America,Feeding America,1152
6820348410,Kirsten Gillibrand,Off the Sidelines,1149
277005566267077,Blueland,Blueland,1127
1161005637372969,Just Democracy,Just Democracy,1106
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,1088
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,1085
1204754733024419,People's Power Grab,ACRONYM,1077
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,1057
129914120385683,Families USA,Families USA,1044
10423517786,Harvard Business Review,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,1032
303374266418976,AFPM,American Fuel & Petrochemical Manufacturers,1016
896759427103774,Modern Medicaid Alliance,Modern Medicaid Alliance,1012
556765271505476,Vote at Home,National Vote at Home Institute,1000
1837007059910758,"Trucker Lives Matter, a www.Truckers.com page",Small Business in Transportation Coalition,1000
18982436812,ACLU,American Civil Liberties Union,997
104614641200137,MeidasTouch,MEIDASTOUCH,994
338028696036,Yahoo News,Verizon Media Inc,976
108632024053665,Elect Mónica Palacio,Elect Mónica Palacio for City Council Committee,970
17432811417,Working Families Party,"Working Families Organization, Inc",965
1606780826273282,The Committee to Unleash Prosperity,Committee to Unleash Prosperity Inc.,956
159616034235,Walmart,WALMART INC.,934
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,932
393932827634250,Dissent Pins,Common Practice,914
433919203362871,Bird + Stone,BIRD & STONE INC,909
100119981671668,Blue Senate,BLUE SENATE PAC,907
223055747744143,Beto O'Rourke,Powered By People,895
105269984593079,The Way I See It,Focus Features,870
1013304945470529,My Pride Apparel,My Pride Apparel,861
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",857
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,849
6713653788,Gary Peters,PETERS FOR MICHIGAN,845
103373224404755,Impact Slates,COLLECTIVE IMPACT PAC,834
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,815
203197030603239,8 Billion Trees,8 Billion Trees,813
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,812
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,811
273168429458189,Center for Western Priorities,Center for Western Priorities,807
104351147973521,BLM Store,www.BLM.store,806
183105561722390,"Jacque Patterson for DC State Board of Education, At-Large",Jacque 4 DC,793
167586229923327,World Food Program USA,World Food Program USA,793
103026384819654,How to Vote,ACRONYM,788
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,784
278478315828826,CNN Original Series,"Turner Broadcasting Sales, Inc",758
20876805343,March of Dimes,MARCH OF DIMES INC.,712
327837911149503,2A4Life,2A4LIFE LLC,702
9465008123,Amazon.com,These ads ran without a disclaimer,696
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,690
53797383417,The National Urban League,National Urban League with Facebook Ad Credits,688
101165966152,AFL-CIO,AFL-CIO,678
106333028376,"Nichols Kaster, PLLP",Nichols Kaster PLLP,673
8325302025,Friends of the Earth U.S.,Friends of the Earth,668
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,660
1136781033034012,Brave New Look,Brave New Look,657
700806360047982,CFG Action,Club for Growth Action,653
108973117329910,Abortion Care Reality Project,Abortion Care Reality Project,652
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,639
277414242013,Joyce Elliott,JOYCE ELLIOTT FOR CONGRESS,635
55549065733,Voto Latino,VOTO LATINO INC.,624
153678684700451,American Investment Council,AMERICAN INVESTMENT COUNCIL,623
11309713071,Gates Foundation,Bill & Melinda Gates Foundation,621
5435784683,Greenpeace USA,"GREENPEACE, INC.",617
2264090133834042,Invite Research,Precision Network,606
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,591
104038541334426,BailoutWatch,Climate Nexus,586
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",585
1600352356914768,PushBlack,PushBlack,585
1528980567353817,Love Has No Labels,Love Has No Labels with Facebook Ad Credits,580
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,575
57403415485,Showtime Networks,Showtime Networks,567
117410271826,American Public University,These ads ran without a disclaimer,557
38471053686,Elizabeth Warren,"WARREN DEMOCRATS, INC.",553
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,542
6204742571,Sierra Club,SIERRA CLUB,531
45002877992,FOX,FOX Broadcasting,530
33713453361,Amazon Prime Video,These ads ran without a disclaimer,525
113088277151643,Mysiki Valentine for DC State Board of Education,The Committee to Elect Mysiki Valentine,522
7145381235,American Jewish World Service - AJWS,"AMERICAN JEWISH WORLD SERVICE, INC.",498
408250066356,Bill O'Reilly,"Bill Me, Inc.",495
100991811471269,Eric Rogers for Council At-Large,Committee to Elect Eric Rogers for Council At- Large,494
131306317680000,Social Goods,"Social Goods, LLC",480
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",468
10803722213,Common Cause,COMMON CAUSE,468
59386210330,American Lung Association,AMERICAN LUNG ASSOCIATION,464
26442402549,American Hotel & Lodging Association -  AHLA,American Hotel and Lobbying Association,464
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",462
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,460
108667090893234,Vote Dr. Mic DC Council at Large 2020 drmicdccouncil.com,Committee to Elect Dr. Mich DC Council At Large,457
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",451
101127364972509,Dems For USA,Dems For USA,448
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,441
72092591211,FBI – Federal Bureau of Investigation,FBI - Washington Field Office Division,436
108555914302702,Alexpadrodc,Committee to Elect Alex Padro,436
105010030848236,Bryant Cameron Webb,DR. CAMERON WEBB FOR CONGRESS,428
1395352233909288,James Harnett,James for Ward 2 State Board of Education,427
36872302227,Cory Booker,Cory Booker for Senate,426
361960287311696,Better Medicare Alliance,"Better Medicare Alliance, Inc",425
167606528159,Dockers,Levi Strauss & Co.,424
118269091671380,The Home T,THE HOME T,415
130848666099,Business Forward,Business Forward Inc.,408
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,406
655065784538368,PredictIt,"PredictIt - Prediction Markets. A project of Victoria University of Wellington, PredictIt has been established to facilitate research into the way markets forecast events.",402
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",401
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,400
493811210669780,Creative Action Network,Creative Action Network,398
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,395
1338822066131069,Women's March,Women's March,395
51405613519,Focus on the Family,Focus on the Family,389
103894401110795,Decriminalize Nature DC,Campaign to Decriminalize Nature DC,389
7976226799,The Daily Show,Comedy Central,385
143528022388140,The Allstate Foundation,The Allstate Foundation,381
309308412520731,Sandy Hook Promise,Sandy Hook Promise,379
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",376
485980975070908,Abigail Spanberger,SPANBERGER FOR CONGRESS,376
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",375
356860853201,New York League of Conservation Voters,NEW YORK LEAGUE OF CONSERVATION VOTERS,374
1438808983108348,BOLD PAC,CHC BOLD PAC,373
1439829396312534,The Movement for Black Lives,Movement for Black Lives,373
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,372
106572950040377,Max Rose,MAX ROSE FOR CONGRESS,371
225693857938375,DC Department of For-Hire Vehicles l DFHV,Seaberry Design & Communications LLC,368
868405419972384,The Outrage,The Outrage,361
118178241651488,DSPolitical,"DSPolitical, LLC",358
107256511084285,Staffer,Global Strategy Group,352
124155874263916,Participant Media,Participant Media,350
6820348410,Kirsten Gillibrand,Gillibrand for Senate,347
709485249179784,Western Caucus Foundation,Western Caucus Foundation,347
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",346
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,346
7263476274,Mercy Corps,Mercy Corps,343
57673294024,PRAISE 104.1 FM,Brian Douglas Hartz,336
2046092952294722,Lucy McBath for Congress,FRIENDS OF LUCY MCBATH,335
46347342434,EMILY's List,EMILY'S LIST,332
101411555005361,Stars and Strife,David Smick "Stars and Strife",332
2049170775107862,Resistance By Design,Resistance By Design,325
1163921807008864,MINT & LILY,Mint&Lily,324
297706507036856,Charles Koch Institute,Charles Koch Institute,321
8127889355,Americans for Tax Reform,AMERICANS FOR TAX REFORM,321
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",319
