Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,277441
156968474833352,Stop Republicans,Stop Republicans,209268
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,149228
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,145249
108824017345866,Facebook,"Facebook, Inc.",137639
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,130569
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,94952
367152833370567,Instagram,"Facebook, Inc.",87264
20531316728,Facebook App,"Facebook, Inc.",81799
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,71544
24413227922,Kamala Harris,BIDEN VICTORY FUND,63003
20787991568,Senate Democrats,DSCC,59001
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,56367
925007000949719,ExxonMobil,Exxon Mobil Corporation,45118
321164501272134,WA Secretary of State,Washington Office of the Secretary of State with Facebook Ad Credits,39298
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",37044
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,33947
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,33193
110018833813683,Flip the Senate,SMP,33036
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,31676
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,31369
714227512101604,Carolyn Long,ELECT CAROLYN LONG,27909
105756057589080,The Lincoln Project,The Lincoln Project,27228
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,26634
103983379801,Texas Democratic Party,SUPER STATES 2020,24340
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,22455
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,22404
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,18787
602714436529710,End Citizens United,END CITIZENS UNITED,18049
605168822998856,314 Action,314 ACTION FUND,16047
280034132055819,WhatsApp,WhatsApp Inc.,15680
228754857151053,House Majority PAC,House Majority PAC,15617
428821014132730,Katie Porter,Katie Porter For Congress,15442
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,15291
104856814505092,The Kids Guide,The Kids Guide,14406
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,13907
1354622541311687,Dr. Kim Schrier,DR KIM SCHRIER FOR CONGRESS,13627
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,13379
202626512363,U.S. Census Bureau,U.S. Census Bureau,12777
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,12615
326974419055,Xfinity,COMCAST CORPORATION,12439
327837911149503,2A4Life,2A4LIFE LLC,12023
328853823844484,Balance of Power,Balance of Power,11830
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,11676
244441863136599,Washington Census Alliance,Washington State Office of Financial Management,11370
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,11282
6500552187,Hulu,"HULU, LLC",11036
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,10898
1623337434552728,Justice G. Helen Whitener,Committee to Keep Justice Whitener,10670
127225910653607,PragerU,PragerU,10573
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,10366
107500120800840,Partnership for Energy Progress,Partnership for Energy Progress,9812
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,9709
104614641200137,MeidasTouch,MEIDASTOUCH,9211
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,9040
2352630938293825,Mytacticalpromos,Entremax,8751
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,8640
107210084216238,Humanity Forward,Humanity Forward,8538
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,8532
7833534974,Florida Democratic Party,Florida Democratic Party,8253
111428049989,Cal Cunningham,CAL FOR NC,8071
203197030603239,8 Billion Trees,8 Billion Trees,8067
107711150982095,We Are Southwest Washington,Fuse Washington,7980
538649879867825,Red Table Talk,"Facebook, Inc.",7931
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,7835
9002965673,Freeform,Freeform,7606
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,7569
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,7463
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,7459
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,7291
277005566267077,Blueland,Blueland,7167
104113317870732,Free Markets Destroy,Washington Policy Center,7110
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,7003
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,6789
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,6648
5435784683,Greenpeace USA,"GREENPEACE, INC.",6509
168051710543266,Lacy Johnson,Lacy Johnson for Congress,6468
18982436812,ACLU,American Civil Liberties Union,6413
1449461518652183,4Patriots,4Patriots LLC,6381
8501031021,VoteVets.org,VOTEVETS,6371
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",6338
8325302025,Friends of the Earth U.S.,Friends of the Earth,6246
100392931351292,Northwest RiverPartners,Northwest RiverPartners,6081
120137368013775,Puget Sound Energy,"PUGET SOUND ENERGY, INC.",6074
45002877992,FOX,FOX Broadcasting,6046
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,5987
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,5940
247432468622391,Washington State Democratic Party,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,5712
6204742571,Sierra Club,SIERRA CLUB,5575
2353537341582545,Proud Patriots,Proud Patriots,5462
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,5306
115371150301593,Move Seattle Forward,Move Seattle Forward,5295
170920259668882,OneAmerica Votes,OneAmerica Votes,5276
717022005384027,BIOAction,BIOTECHNOLOGY INNOVATION ORGANIZATION,5234
223055747744143,Beto O'Rourke,Powered By People,5135
9324910069,NRSC,NRSC,5078
33713453361,Amazon Prime Video,These ads ran without a disclaimer,5066
315798208620912,Rep. Dan Newhouse,Office of Congressman Dan Newhouse,5060
