Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,892751
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,330333
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",257573
114625730266879,Republican Voters Against Trump,Defending Democracy Together,172420
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,168042
7860876103,Joe Biden,BIDEN FOR PRESIDENT,145686
242077219243971,The Presidential Coalition,The Presidential Coalition,136516
102540204580217,UpNorthNews,"Courier Newsroom, Inc.",125506
100969075095884,Wisconsin Votes Trump Out,TECH FOR CAMPAIGNS,116307
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,110756
108824017345866,Facebook,"Facebook, Inc.",106009
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,103199
580610428636345,Fight for $15,Fight for $15,100317
156994304362574,American Bridge 21st Century,AB PAC,95467
100543878456307,Trump for Wisconsin,"DONALD J. TRUMP FOR PRESIDENT, INC.",92359
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,88484
108821207621435,A Better Wisconsin Together Institute,"A Better Wisconsin Together Institute, Inc.",86271
156968474833352,Stop Republicans,Stop Republicans,80285
43287633515,Alliance for Climate Education,Alliance for Climate Education,74694
261663760956534,America First Policies,America First Policies Inc,73106
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,71968
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,70652
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,69593
20531316728,Facebook App,"Facebook, Inc.",68914
190094106128575,Vote By Mail 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,68273
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",63343
215653202574079,Future Majority,"Future Majority, Inc",62723
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,57923
19972147679,SEIU,SEIU,53206
367152833370567,Instagram,"Facebook, Inc.",52354
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,51804
507322359694737,Change Now,"Change Now, Inc.",48718
1552675688372326,Color Of Change PAC,Priorities USA Action and Color of Change PAC. (202) 455-8428. (646) 395-3711. Not authorized by any candidate or candidate's committee.,44334
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,42569
350316025478383,When We All Vote,When We All Vote,41807
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,40602
110124618713,American Principles Project,AMERICAN PRINCIPLES PROJECT PAC,38989
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,38875
332716170522025,America First Action,America First Action,38529
24413227922,Kamala Harris,BIDEN VICTORY FUND,36852
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,35608
106438637853917,One For All Committee,ONE FOR ALL COMMITTEE,33028
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",32820
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",31950
925007000949719,ExxonMobil,Exxon Mobil Corporation,30983
101525041616176,Power the Polls,Power The Polls,28218
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,26612
147932781930930,Wisconsin State Senate Democratic Committee,Wisconsin State Senate Democratic Committee,25470
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,24397
302182941354,AARP Advocates,AARP,24239
214468241983551,Republican Assembly Campaign Committee (RACC),Republican Assembly Campaign Committee,23536
329272720965256,GALvanize USA,GALvanize USA,23188
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,22498
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,22366
260754507296508,The Voter Participation Center,Voter Participation Center,22299
1050320055029012,Outrider Foundation,OUTRIDER FOUNDATION,21358
1556932204325823,ProgressPop,ProgressPop,21311
20787991568,Senate Democrats,DSCC,21158
1204754733024419,People's Power Grab,ACRONYM,20962
325011977618710,Planned Parenthood of Wisconsin,Planned Parenthood of Wisconsin,20776
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,20112
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",19383
103026384819654,How to Vote,ACRONYM,19248
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,18987
248833449184369,Boost the News,ACRONYM,18937
218685164816337,ACLU of Wisconsin,American Civil Liberties of WI Foundation,17389
105390141285230,The FYI,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",17385
107483817554072,WorkMoney,WorkMoney,16913
170004579701070,RootsAction,Action For A Progressive Future,16874
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,16711
551328948361758,For Our Future WI,FOR OUR FUTURE,16669
984421991732710,Paycheckology,Paycheckology,15998
1771156219840594,Team Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",15502
108103774350322,We the People 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,15499
102781694834193,American Herald,America First Action,15273
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,15115
104684067632334,Unite the Country,UNITE THE COUNTRY,15035
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,14961
169130470583214,Demand Justice,Demand Justice,14296
110035803933338,Paul Piotrowski for State Senate,Piotrowski for State Senate,14291
72186095846,Center For American Progress Action Fund,Center for American Progress Action Fund,14188
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,13666
2189966354657925,Spectrum News 1 Wisconsin,Spectrum News,13642
6396394069,Ron Kind,KIND FOR CONGRESS COMMITTEE,13336
347978955534783,Solcius,Solcius,13110
14673807622,Wisconsin Conservation Voters,Wisconsin Conservation Voters Independent Expenditure Committee,12961
386148711450700,CERS - Committee to Elect a Republican Senate,the Committee to Elect a Republican Senate,12657
108160457260764,Jessica King for Wisconsin,JESSICA KING FOR WISCONSIN,12586
24413227922,Kamala Harris,BIDEN FOR PRESIDENT,12576
12301006942,Democratic Party,BIDEN VICTORY FUND,12573
437400020507592,Joe Biden for Wisconsin,BIDEN VICTORY FUND,12376
437400020507592,Joe Biden for Wisconsin,BIDEN FOR PRESIDENT,12376
