Page ID,Page Name,Disclaimer,Amount Spent (USD)
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,16751
108824017345866,Facebook,"Facebook, Inc.",11707
7860876103,Joe Biden,BIDEN VICTORY FUND,7547
20531316728,Facebook App,"Facebook, Inc.",7341
925007000949719,ExxonMobil,Exxon Mobil Corporation,6554
156968474833352,Stop Republicans,Stop Republicans,6141
367152833370567,Instagram,"Facebook, Inc.",4647
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,4256
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,3787
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",3431
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,3120
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,2940
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,2140
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,1790
20787991568,Senate Democrats,DSCC,1687
24413227922,Kamala Harris,BIDEN VICTORY FUND,1676
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,1672
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,1532
327837911149503,2A4Life,2A4LIFE LLC,1446
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,1351
104856814505092,The Kids Guide,The Kids Guide,1333
138109556202547,Wyoming Community Foundation,"WYOMING COMMUNITY FOUNDATION, THE",1333
302182941354,AARP Advocates,AARP,1322
108629670688670,Britney Wallesch for WY Senate District 6,Committee to Elect Britney Wallesch,1236
127225910653607,PragerU,PragerU,1193
2352630938293825,Mytacticalpromos,Entremax,1007
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,999
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,996
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,982
6500552187,Hulu,"HULU, LLC",891
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,881
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,853
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,826
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,818
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,814
110018833813683,Flip the Senate,SMP,806
100391581727524,Defeat By Tweet,DEFEAT BY TWEET,791
369214063089791,Lummis for Wyoming,LUMMIS FOR WYOMING INC.,785
1449461518652183,4Patriots,4Patriots LLC,782
105756057589080,The Lincoln Project,The Lincoln Project,768
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,758
202626512363,U.S. Census Bureau,U.S. Census Bureau,744
101883024884380,Re-Elect Greg Epstein to the Teton County Commission,Vote Greg Epstein,724
108782680799347,Devon Viehman for Town Council,Devon Viehman for Town Council,717
250226702005906,Jessica Chambers for Council,Elect Jessica Chambers,717
266288815238,WyGO / Wyoming Gun Owners,Wyoming Gun Owners,694
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,668
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,661
168051710543266,Lacy Johnson,Lacy Johnson for Congress,650
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,641
112854327110866,Amy Spieker for WY House District 11,Friends of Amy Spieker,638
105577974544303,The USA Needs More Patriots,AmeriPolling,636
602714436529710,End Citizens United,END CITIZENS UNITED,631
114710126648118,Republican Dogs,Republican Dogs,629
103983379801,Texas Democratic Party,SUPER STATES 2020,623
1374134752633656,New Health Plans,Shop Insurance Plans,620
45002877992,FOX,FOX Broadcasting,618
538649879867825,Red Table Talk,"Facebook, Inc.",591
112853463890883,ROCC Contract,Republicans of Campbell County,589
2353537341582545,Proud Patriots,Proud Patriots,563
228754857151053,House Majority PAC,House Majority PAC,561
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,557
717115395103069,PrintedKicks,Printed Kicks,546
9324910069,NRSC,NRSC,540
92925746942,Judicial Watch,Judicial Watch,538
51405613519,Focus on the Family,Focus on the Family,531
100137754724934,Trump 2020 Supporters,Proud Right Winger,531
9002965673,Freeform,Freeform,529
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",522
111182803979617,RoxieHensley4House45,Roxie4Rep,514
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,512
280034132055819,WhatsApp,WhatsApp Inc.,511
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,511
103533868170010,"Shawn Day, Sheridan City Council",Shawn Day for Sheridan City Council,508
